"provinceShortName"	"currentConfirmedCount"	"confirmedCount"	"suspectedCount"	"curedCount"	"deadCount"	"locationId"
"香港"	"1237"	"7623"	"176"	"6266"	"120"	"810000"
"台湾"	"127"	"740"	"431"	"606"	"7"	"710000"
"上海"	"89"	"1415"	"393"	"1319"	"7"	"310000"
"四川"	"41"	"838"	"14"	"794"	"3"	"510000"
"广东"	"37"	"2018"	"14"	"1973"	"8"	"440000"
"福建"	"32"	"502"	"3"	"469"	"1"	"350000"
"内蒙古"	"27"	"342"	"34"	"314"	"1"	"150000"
"陕西"	"17"	"502"	"1"	"482"	"3"	"610000"
"云南"	"12"	"224"	"0"	"210"	"2"	"530000"
"黑龙江"	"11"	"960"	"394"	"936"	"13"	"230000"
"山东"	"10"	"858"	"14"	"841"	"7"	"370000"
"江苏"	"9"	"684"	"3"	"675"	"0"	"320000"
"河南"	"7"	"1295"	"0"	"1266"	"22"	"410000"
"北京"	"7"	"956"	"164"	"940"	"9"	"110000"
"浙江"	"6"	"1297"	"3"	"1290"	"1"	"330000"
"天津"	"4"	"302"	"50"	"295"	"3"	"120000"
"山西"	"2"	"222"	"64"	"220"	"0"	"140000"
"湖北"	"1"	"68149"	"0"	"63636"	"4512"	"420000"
"重庆"	"1"	"590"	"1"	"583"	"6"	"500000"
"广西"	"1"	"264"	"0"	"261"	"2"	"450000"
"湖南"	"0"	"1020"	"0"	"1016"	"4"	"430000"
"安徽"	"0"	"992"	"0"	"986"	"6"	"340000"
"新疆"	"0"	"980"	"0"	"977"	"3"	"650000"
"江西"	"0"	"935"	"0"	"934"	"1"	"360000"
"河北"	"0"	"373"	"0"	"367"	"6"	"130000"
"辽宁"	"0"	"289"	"0"	"287"	"2"	"210000"
"甘肃"	"0"	"182"	"0"	"180"	"2"	"620000"
"海南"	"0"	"171"	"0"	"165"	"6"	"460000"
"吉林"	"0"	"157"	"19"	"155"	"2"	"220000"
"贵州"	"0"	"147"	"0"	"145"	"2"	"520000"
"宁夏"	"0"	"75"	"0"	"75"	"0"	"640000"
"澳门"	"0"	"46"	"9"	"46"	"0"	"820000"
"青海"	"0"	"18"	"0"	"18"	"0"	"630000"
"西藏"	"0"	"1"	"0"	"1"	"0"	"540000"
"香港"	"1253"	"7721"	"176"	"6345"	"123"	"810000"
"台湾"	"124"	"742"	"431"	"611"	"7"	"710000"
"上海"	"88"	"1418"	"393"	"1323"	"7"	"310000"
"四川"	"41"	"838"	"14"	"794"	"3"	"510000"
"广东"	"37"	"2018"	"14"	"1973"	"8"	"440000"
"福建"	"32"	"502"	"3"	"469"	"1"	"350000"
"内蒙古"	"27"	"342"	"34"	"314"	"1"	"150000"
"陕西"	"16"	"502"	"1"	"483"	"3"	"610000"
"云南"	"13"	"226"	"0"	"211"	"2"	"530000"
"黑龙江"	"11"	"960"	"394"	"936"	"13"	"230000"
"山东"	"10"	"858"	"14"	"841"	"7"	"370000"
"江苏"	"9"	"684"	"3"	"675"	"0"	"320000"
"北京"	"8"	"957"	"164"	"940"	"9"	"110000"
"河南"	"7"	"1295"	"0"	"1266"	"22"	"410000"
"浙江"	"6"	"1297"	"3"	"1290"	"1"	"330000"
"天津"	"4"	"302"	"50"	"295"	"3"	"120000"
"山西"	"2"	"222"	"64"	"220"	"0"	"140000"
"湖北"	"1"	"68149"	"0"	"63636"	"4512"	"420000"
"重庆"	"1"	"590"	"1"	"583"	"6"	"500000"
"广西"	"1"	"264"	"0"	"261"	"2"	"450000"
"湖南"	"0"	"1020"	"0"	"1016"	"4"	"430000"
"安徽"	"0"	"992"	"0"	"986"	"6"	"340000"
"新疆"	"0"	"980"	"0"	"977"	"3"	"650000"
"江西"	"0"	"935"	"0"	"934"	"1"	"360000"
"河北"	"0"	"373"	"0"	"367"	"6"	"130000"
"辽宁"	"0"	"289"	"0"	"287"	"2"	"210000"
"甘肃"	"0"	"182"	"0"	"180"	"2"	"620000"
"海南"	"0"	"171"	"0"	"165"	"6"	"460000"
"吉林"	"0"	"157"	"19"	"155"	"2"	"220000"
"贵州"	"0"	"147"	"0"	"145"	"2"	"520000"
"宁夏"	"0"	"75"	"0"	"75"	"0"	"640000"
"澳门"	"0"	"46"	"9"	"46"	"0"	"820000"
"青海"	"0"	"18"	"0"	"18"	"0"	"630000"
"西藏"	"0"	"1"	"0"	"1"	"0"	"540000"
"香港"	"1241"	"7899"	"176"	"6534"	"124"	"810000"
"台湾"	"134"	"757"	"431"	"616"	"7"	"710000"
"上海"	"88"	"1424"	"393"	"1329"	"7"	"310000"
"广东"	"41"	"2022"	"14"	"1973"	"8"	"440000"
"四川"	"38"	"838"	"14"	"797"	"3"	"510000"
"福建"	"29"	"503"	"3"	"473"	"1"	"350000"
"内蒙古"	"19"	"342"	"34"	"322"	"1"	"150000"
"陕西"	"16"	"502"	"1"	"483"	"3"	"610000"
"云南"	"13"	"226"	"0"	"211"	"2"	"530000"
"黑龙江"	"11"	"960"	"394"	"936"	"13"	"230000"
"山东"	"11"	"859"	"14"	"841"	"7"	"370000"
"江苏"	"9"	"684"	"3"	"675"	"0"	"320000"
"北京"	"8"	"957"	"164"	"940"	"9"	"110000"
"浙江"	"6"	"1297"	"3"	"1290"	"1"	"330000"
"河南"	"6"	"1295"	"0"	"1267"	"22"	"410000"
"天津"	"4"	"303"	"50"	"296"	"3"	"120000"
"山西"	"2"	"222"	"64"	"220"	"0"	"140000"
"广西"	"1"	"264"	"0"	"261"	"2"	"450000"
"湖北"	"0"	"68149"	"0"	"63637"	"4512"	"420000"
"湖南"	"0"	"1020"	"0"	"1016"	"4"	"430000"
"安徽"	"0"	"992"	"0"	"986"	"6"	"340000"
