"name" "continent"	"date"	"isUpdated"	"confirmAdd"	"confirmAddCut"	"confirm"	"suspect"	"dead"	"heal"	"nowConfirm"	"confirmCompare"	"nowConfirmCompare"	"healCompare"	"deadCompare"
"美国"	"北美洲"	"12.14"	"True"	"187901"	"0"	"16737267"	"0"	"306459"	"9724439"	"6706369"	"187901"	"106410"	"80114"	"1377"
"印度"	"亚洲"	"12.14"	"False"	"27071"	"0"	"9884100"	"0"	"143355"	"9388159"	"352586"	"27071"	"-3960"	"30695"	"336"
"巴西"	"南美洲"	"12.14"	"False"	"21825"	"0"	"6901952"	"0"	"181402"	"6138349"	"582201"	"21825"	"-38516"	"60062"	"279"
"俄罗斯"	"欧洲"	"12.14"	"False"	"26902"	"0"	"2656601"	"0"	"46846"	"2105414"	"504341"	"26902"	"7933"	"18527"	"442"
"法国"	"欧洲"	"12.14"	"False"	"25357"	"0"	"2430612"	"0"	"58015"	"182688"	"2189909"	"25357"	"23906"	"1107"	"344"
"英国"	"欧洲"	"12.14"	"False"	"18538"	"0"	"1854490"	"0"	"64267"	"4013"	"1786210"	"18538"	"18190"	"204"	"144"
"意大利"	"欧洲"	"12.14"	"False"	"17937"	"0"	"1843712"	"0"	"64520"	"1093161"	"686031"	"17937"	"1183"	"16270"	"484"
"土耳其"	"亚洲"	"12.14"	"False"	"26919"	"0"	"1836728"	"0"	"16417"	"1603780"	"216531"	"26919"	"4486"	"22215"	"218"
"西班牙"	"欧洲"	"12.14"	"True"	"7053"	"0"	"1741439"	"0"	"47624"	"196958"	"1496857"	"0"	"0"	"0"	"0"
"阿根廷"	"南美洲"	"12.14"	"False"	"3558"	"0"	"1498160"	"0"	"40766"	"1335317"	"122077"	"3558"	"-1697"	"5157"	"98"
"哥伦比亚"	"南美洲"	"12.14"	"False"	"8702"	"0"	"1425774"	"0"	"39053"	"1314836"	"71885"	"8702"	"4104"	"4411"	"187"
"德国"	"欧洲"	"12.14"	"False"	"14709"	"0"	"1350810"	"0"	"22103"	"990707"	"338000"	"14709"	"289"	"14238"	"182"
"墨西哥"	"北美洲"	"12.14"	"False"	"8608"	"0"	"1250044"	"0"	"113953"	"918681"	"217410"	"8608"	"1643"	"6716"	"249"
"波兰"	"欧洲"	"12.14"	"False"	"4896"	"0"	"1140572"	"0"	"22960"	"869155"	"248457"	"4896"	"-5460"	"10260"	"96"
"伊朗"	"亚洲"	"12.14"	"False"	"7501"	"0"	"1115770"	"0"	"52447"	"823231"	"240092"	"7501"	"-3711"	"10961"	"251"
"秘鲁"	"南美洲"	"12.14"	"False"	"4030"	"0"	"984973"	"0"	"36677"	"918352"	"29944"	"4030"	"1880"	"2017"	"133"
"乌克兰"	"欧洲"	"12.14"	"False"	"6877"	"0"	"925321"	"0"	"15792"	"526101"	"383428"	"6877"	"1587"	"5189"	"101"
"南非"	"非洲"	"12.14"	"False"	"7999"	"0"	"860964"	"0"	"23276"	"761011"	"76677"	"7999"	"6936"	"893"	"170"
"荷兰"	"欧洲"	"12.14"	"False"	"8510"	"0"	"632024"	"0"	"10168"	"7872"	"613984"	"8510"	"8441"	"34"	"35"
"印度尼西亚"	"亚洲"	"12.14"	"False"	"5489"	"0"	"623309"	"0"	"18956"	"510957"	"93396"	"5489"	"231"	"5121"	"137"
"比利时"	"欧洲"	"12.14"	"False"	"2171"	"0"	"608137"	"0"	"17951"	"33687"	"556499"	"2171"	"2122"	"0"	"49"
"捷克"	"欧洲"	"12.14"	"False"	"2000"	"0"	"581079"	"0"	"9609"	"505922"	"65548"	"2000"	"670"	"1256"	"74"
"伊拉克"	"亚洲"	"12.14"	"False"	"1338"	"0"	"575972"	"0"	"12603"	"509474"	"53895"	"1338"	"-714"	"2028"	"24"
"智利"	"南美洲"	"12.14"	"False"	"0"	"0"	"571919"	"0"	"15886"	"544832"	"11201"	"0"	"0"	"0"	"0"
"罗马尼亚"	"欧洲"	"12.14"	"False"	"3252"	"0"	"559587"	"0"	"13494"	"460780"	"85313"	"3252"	"-277"	"3420"	"109"
"孟加拉"	"亚洲"	"12.14"	"False"	"1799"	"0"	"492332"	"0"	"7089"	"423845"	"61398"	"1799"	"-1187"	"2949"	"37"
"加拿大"	"北美洲"	"12.14"	"False"	"5916"	"0"	"464443"	"0"	"13451"	"378653"	"72339"	"5916"	"1448"	"4384"	"84"
"菲律宾"	"亚洲"	"12.14"	"False"	"1333"	"0"	"450733"	"0"	"8757"	"418723"	"23253"	"1333"	"1273"	"36"	"24"
"巴基斯坦"	"亚洲"	"12.14"	"False"	"2362"	"0"	"440787"	"0"	"8832"	"384719"	"47236"	"2362"	"607"	"1719"	"36"
"摩洛哥"	"非洲"	"12.14"	"False"	"2012"	"0"	"399609"	"0"	"6624"	"356023"	"36962"	"2012"	"-948"	"2925"	"35"
"瑞士"	"欧洲"	"12.14"	"False"	"10726"	"0"	"384557"	"0"	"6079"	"308300"	"70178"	"10726"	"-6169"	"16800"	"95"
"沙特阿拉伯"	"亚洲"	"12.14"	"False"	"125"	"0"	"360013"	"0"	"6059"	"350792"	"3162"	"125"	"-129"	"243"	"11"
"以色列"	"亚洲"	"12.14"	"False"	"2043"	"0"	"358293"	"0"	"3003"	"337599"	"17691"	"2043"	"251"	"1779"	"13"
