日期,确诊,治愈,死亡,新增确诊
1.26,11,0,0,4
1.27,13,0,0,2
1.28,16,0,0,3
1.29,18,0,0,2
1.30,20,0,0,2
1.31,23,0,0,3
2.1,27,0,0,4
2.2,34,0,0,7
2.3,35,1,0,1
2.4,42,1,0,7
2.5,46,4,0,4
2.6,50,4,0,4
2.7,52,5,0,2
2.8,54,5,0,2
2.9,58,5,0,4
2.10,58,5,0,0
2.11,60,5,0,2
2.12,61,6,0,1
2.13,65,6,0,4
2.14,68,6,0,3
2.15,70,7,0,2
2.16,72,8,0,2
2.17,73,8,0,1
2.18,75,9,0,2
2.19,75,11,0,0
2.20,75,16,0,0
2.21,75,22,0,0
2.22,75,26,0,0
2.23,75,30,0,0
2.24,75,34,0,0
2.25,75,35,0,0
2.26,75,38,0,0
2.27,75,43,0,0
2.28,75,46,0,0
2.29,75,51,0,0
3.1,75,51,0,0
3.2,75,54,1,0
3.3,75,59,1,0
3.4,75,63,1,0
3.5,75,65,1,0
3.6,75,65,1,0
3.7,75,68,1,0
3.8,75,70,1,0
3.9,75,70,1,0
3.10,75,70,1,0
3.11,75,71,1,0
3.12,75,71,1,0
3.13,75,71,1,0
3.14,75,71,1,0
3.15,75,71,1,0
3.16,75,73,1,0
3.17,75,73,1,0
3.18,75,74,1,0
3.19,75,74,1,0
3.24,77,74,1,2
3.25,89,74,1,12
3.26,92,74,1,3
3.27,94,74,1,2
3.28,95,74,1,1
3.29,97,74,1,2
3.30,107,74,1,10
3.31,111,74,1,4
4.1,117,74,1,6
4.2,117,74,1,0
4.3,117,74,1,0
4.4,117,74,1,0
4.5,118,74,1,1
4.6,121,74,1,3
4.7,124,74,1,3
4.8,126,79,1,2
4.9,128,79,1,2
4.10,155,79,1,27
4.11,155,83,1,0
4.12,190,83,1,35
4.13,190,91,1,0
4.14,190,94,1,0
4.15,193,94,1,3
4.16,193,103,1,0
4.17,193,104,1,0
4.18,193,104,1,0
4.19,194,104,1,1
4.20,194,108,1,0
4.21,194,108,1,0
4.22,194,108,1,0
4.23,194,108,1,0
4.24,197,114,1,3
4.25,198,121,1,1
4.26,198,129,1,0
4.27,199,145,1,1
4.28,199,146,1,0
4.29,200,150,1,1
4.30,201,152,1,1
5.1,201,154,1,0
5.2,201,154,1,0
5.3,201,156,1,0
5.4,201,160,1,0
5.5,201,167,1,0
5.6,201,171,1,0
5.7,201,172,1,0
5.8,201,175,1,0
5.9,201,184,1,0
5.10,208,187,1,7
5.11,209,188,1,1
5.12,209,190,1,0
5.13,209,190,1,0
5.14,209,194,1,0
5.15,209,196,1,0
5.16,209,196,1,0
5.17,213,196,1,4
5.18,216,196,1,3
5.19,217,196,1,1
5.20,217,199,1,0
5.21,217,199,1,0
5.22,217,199,1,0
5.23,217,199,1,0
5.24,227,201,1,10
5.25,232,204,1,5
5.26,232,205,1,0
5.27,232,205,1,0
5.28,232,205,1,0
5.29,232,206,1,0
5.30,232,206,1,0
5.31,235,207,1,3
6.1,235,209,1,0
6.2,235,209,1,0
6.3,235,212,1,0
6.4,235,213,1,0
6.5,235,213,1,0
6.6,235,213,1,0
6.7,235,218,1,0
6.8,235,226,1,0
6.9,237,230,1,2
6.10,237,230,1,0
6.11,237,231,1,0
6.12,237,231,1,0
6.13,237,231,1,0
6.14,237,231,1,0
6.15,238,234,1,1
6.16,238,234,1,0
6.17,238,234,1,0
6.18,238,234,1,0
6.19,238,234,1,0
6.20,238,235,1,0
6.21,238,235,1,0
6.22,238,236,1,0
6.23,238,236,1,0
6.24,238,236,1,0
6.25,238,236,1,0
6.26,238,236,1,0
6.27,238,236,1,0
6.28,238,237,1,0
6.29,238,237,1,0
6.30,238,237,1,0
7.1,238,237,1,0
7.2,238,237,1,0
7.3,238,237,1,0
7.4,238,237,1,0
7.5,239,237,1,1
7.6,240,237,1,1
7.7,244,237,1,4
7.8,244,237,1,0
7.9,245,237,1,1
7.10,245,237,1,0
7.11,245,237,1,0
7.12,249,237,1,4
7.13,249,237,1,0
7.14,249,237,1,0
7.15,249,237,1,0
7.16,249,237,1,0
7.17,249,237,1,0
7.18,249,237,1,0
7.19,250,237,1,1
7.20,250,237,1,0
7.21,250,240,1,0
7.22,250,241,1,0
7.23,250,241,1,0
7.24,251,241,1,1
7.25,256,244,1,5
7.26,258,244,1,2
7.27,258,244,1,0
7.28,258,244,1,0
7.29,258,244,1,0
7.30,258,244,1,0
7.31,258,244,1,0
8.1,258,244,1,0
8.2,258,244,1,0
8.3,258,244,1,0
8.4,258,247,1,0
8.5,258,247,1,0
8.6,258,247,1,0
8.7,258,247,1,0
8.8,258,247,1,0
8.9,258,253,1,0
8.10,258,253,1,0
8.11,259,254,1,1
8.12,259,254,1,0
8.13,259,255,1,0
8.14,260,256,1,1
8.15,260,256,1,0
8.16,260,256,1,0
8.17,260,256,1,0
8.18,260,256,1,0
8.19,260,256,1,0
8.20,260,256,1,0
8.21,260,257,1,0
8.22,260,257,1,0
8.23,260,257,1,0
8.24,260,257,1,0
8.25,260,257,1,0
8.26,260,257,1,0
8.27,260,257,1,0
8.28,260,257,1,0
8.29,260,257,1,0
8.30,260,257,1,0
8.31,261,257,1,1
9.1,261,258,1,0
9.2,261,259,1,0
9.3,261,259,1,0
9.4,261,259,1,0
9.5,261,259,1,0
9.6,261,259,1,0
9.7,261,259,1,0
9.8,261,259,1,0
9.9,261,259,1,0
9.10,261,259,1,0
9.11,261,259,1,0
9.12,261,259,1,0
9.13,261,259,1,0
9.14,261,259,1,0
9.15,261,259,1,0
9.16,261,259,1,0
9.17,261,259,1,0
9.18,261,259,1,0
9.19,261,259,1,0
9.20,263,259,1,2
9.21,263,259,1,0
9.22,263,259,1,0
9.23,263,259,1,0
9.24,263,259,1,0
9.25,263,259,1,0
9.26,263,259,1,0
9.27,266,259,1,3
9.28,266,259,1,0
9.29,266,259,1,0
9.30,266,260,1,0
10.1,266,260,1,0
10.2,266,260,1,0
10.3,266,261,1,0
10.4,268,261,1,2
10.5,268,261,1,0
10.6,268,261,1,0
10.7,268,261,1,0
10.8,268,261,1,0
10.9,268,261,1,0
10.10,268,261,1,0
10.11,269,262,1,1
10.12,270,262,1,1
10.13,270,263,1,0
10.14,270,263,1,0
10.15,275,263,1,5
10.16,275,263,1,0
10.17,275,265,1,0
10.18,275,265,1,0
10.19,275,266,1,0
10.20,275,266,1,0
10.21,275,266,1,0
10.22,275,266,1,0
10.23,275,266,1,0
10.24,275,267,1,0
10.25,277,267,1,2
10.26,278,268,1,1
10.27,279,268,1,1
10.28,287,268,1,8
10.29,287,268,1,0
10.30,288,268,1,1
10.31,291,270,1,3
11.1,291,270,1,0
11.2,295,270,1,4
11.3,297,270,1,2
11.4,298,270,1,1
11.5,300,270,1,2
11.6,303,270,1,3
11.7,303,271,1,0
11.8,305,272,1,2
11.9,305,273,1,0
11.10,305,273,1,0
11.11,306,274,1,1
11.12,307,281,1,1
11.13,307,282,1,0
11.14,307,282,1,0
11.15,307,282,1,0
11.16,307,286,1,0
11.17,307,287,1,0
11.18,308,287,1,1
11.19,308,288,1,0
11.20,308,290,1,0
11.21,310,291,1,2
11.22,310,291,1,0
11.23,311,291,1,1
11.24,311,291,1,0
11.25,320,296,1,9
11.26,320,296,1,0
11.27,320,301,1,0
11.28,320,302,1,0
11.29,323,304,1,3
11.30,327,305,1,4
12.1,329,305,1,2
12.2,329,306,1,0
12.3,331,306,1,2
12.4,333,306,1,2
12.5,333,306,1,0
12.6,336,308,1,3
12.7,336,308,1,0
12.8,336,308,1,0
12.9,337,309,1,1
12.10,337,311,1,0
12.11,337,313,1,0
12.12,337,313,1,0
12.13,338,313,1,1
12.14,342,314,1,4
12.15,342,315,1,0
12.16,342,322,1,0
12.17,342,322,1,0
12.18,342,324,1,0
