日期,确诊,治愈,死亡,新增确诊
1.26,72,2,0,4
1.27,91,2,1,19
1.28,102,4,1,11
1.29,111,4,1,12
1.30,121,5,1,18
1.31,139,5,1,24
2.1,183,9,1,27
2.2,212,12,1,32
2.3,228,23,1,16
2.4,253,24,1,25
2.5,274,31,1,21
2.6,297,33,1,23
2.7,315,34,2,18
2.8,326,37,2,11
2.9,337,44,2,11
2.10,342,48,3,5
2.11,352,56,3,10
2.12,366,68,3,14
2.13,372,79,3,6
2.14,375,97,4,3
2.15,380,105,4,5
2.16,381,114,4,1
2.17,387,122,4,6
2.18,393,145,4,6
2.19,395,153,4,2
2.20,396,169,4,1
2.21,399,178,4,3
2.22,399,189,4,0
2.23,399,198,4,0
2.24,400,215,4,1
2.25,400,235,4,0
2.26,410,248,5,10
2.27,410,257,7,0
2.28,411,271,8,1
2.29,413,276,8,2
3.1,414,282,8,1
3.2,414,288,8,0
3.3,417,294,8,3
3.4,418,297,8,1
3.5,422,298,8,4
3.6,426,303,8,4
3.7,428,308,8,2
3.8,428,315,8,0
3.9,429,320,8,1
3.10,435,326,8,6
3.11,435,334,8,0
3.12,436,342,8,1
3.13,437,349,8,1
3.14,442,353,8,5
3.15,446,358,8,4
3.16,455,368,8,9
3.17,458,373,8,3
3.18,479,379,8,21
3.19,485,384,8,6
3.20,499,392,8,14
3.21,512,398,8,13
3.22,522,400,8,10
3.23,554,401,8,32
3.24,559,401,8,5
3.25,565,403,8,6
3.26,569,406,8,4
3.27,572,409,8,3
3.28,576,411,8,4
3.29,577,412,8,1
3.30,580,416,8,3
3.31,580,418,8,0
4.1,582,424,8,2
4.2,583,434,8,1
4.3,585,438,8,2
4.4,586,441,8,1
4.5,587,443,8,1
4.6,587,448,8,0
4.7,588,455,8,1
4.8,588,464,8,0
4.9,588,469,8,0
4.10,589,474,8,1
4.11,589,479,8,0
4.12,589,484,8,0
4.13,589,491,8,0
4.14,590,495,8,1
4.15,593,503,8,3
4.16,593,509,8,0
4.17,593,509,8,0
4.18,593,510,8,0
4.19,593,514,8,0
4.20,593,516,8,0
4.21,593,518,8,0
4.22,593,522,8,0
4.23,593,524,8,0
4.24,593,525,8,0
4.25,593,525,8,0
4.26,593,525,9,0
4.27,593,536,9,0
4.28,593,538,9,0
4.29,593,542,9,0
4.30,593,547,9,0
5.1,593,547,9,0
5.2,593,551,9,0
5.3,593,553,9,0
5.4,593,554,9,0
5.5,593,555,9,0
5.6,593,557,9,0
5.7,593,560,9,0
5.8,593,563,9,0
5.9,593,565,9,0
5.10,593,568,9,0
5.11,593,571,9,0
5.12,593,573,9,0
5.13,593,574,9,0
5.14,593,574,9,0
5.15,593,576,9,0
5.16,593,577,9,0
5.17,593,578,9,0
5.18,593,578,9,0
5.19,593,578,9,0
5.20,593,579,9,0
5.21,593,579,9,0
5.22,593,579,9,0
5.23,593,581,9,0
5.24,593,581,9,0
5.25,593,581,9,0
5.26,593,581,9,0
5.27,593,581,9,0
