日期,确诊,治愈,死亡,新增确诊
1.26,6,0,0,2
1.27,8,0,0,2
1.28,9,0,0,1
1.29,14,0,0,5
1.30,14,1,0,0
1.31,17,1,0,3
2.1,23,1,0,6
2.2,31,1,0,8
2.3,42,1,0,11
2.4,54,1,0,12
2.5,59,2,0,5
2.6,65,4,1,6
2.7,69,4,1,4
2.8,78,5,1,9
2.9,80,12,1,2
2.10,81,13,1,1
2.11,83,18,1,2
2.12,84,22,1,1
2.13,86,25,1,2
2.14,88,25,1,2
2.15,89,28,1,1
2.16,89,30,1,0
2.17,89,34,1,0
2.18,90,36,1,1
2.19,91,40,1,1
2.20,91,44,1,0
2.21,91,46,1,0
2.22,91,52,1,0
2.23,93,54,1,2
2.24,93,60,1,0
2.25,93,63,1,0
2.26,93,65,1,0
2.27,93,68,1,0
2.28,93,73,1,0
2.29,93,75,1,0
3.1,93,78,1,0
3.2,93,83,1,0
3.3,93,84,1,0
3.4,93,86,1,0
3.5,93,88,1,0
3.6,93,90,1,0
3.7,93,90,1,0
3.8,93,90,1,0
3.9,93,91,1,0
3.10,93,91,1,0
3.11,93,91,1,0
3.12,93,91,1,0
3.13,93,91,1,0
3.14,93,91,1,0
3.15,93,92,1,0
3.16,93,92,1,0
3.17,93,92,1,0
3.18,93,92,1,0
3.19,93,92,1,0
3.20,93,92,1,0
3.21,93,92,1,0
3.22,93,92,1,0
3.23,93,92,1,0
3.24,94,92,1,1
3.25,95,92,1,1
3.26,95,92,1,0
3.27,97,92,1,2
3.28,98,92,1,1
3.29,98,92,1,0
3.30,98,92,1,0
3.31,98,92,1,0
4.1,98,92,1,0
4.2,98,92,1,0
4.3,98,92,1,0
4.4,98,92,1,0
4.5,98,92,1,0
4.6,98,92,1,0
4.7,98,92,1,0
4.8,98,93,1,0
4.9,98,95,1,0
4.10,98,96,1,0
4.11,99,96,1,1
4.12,100,96,1,1
4.13,100,96,1,0
4.14,102,96,1,2
4.15,102,96,1,0
4.16,102,97,1,0
4.17,102,97,1,0
4.18,104,97,1,2
4.19,104,97,1,0
4.20,106,97,1,2
4.21,106,98,1,0
4.22,107,98,1,1
4.23,108,99,1,1
4.24,109,99,1,1
4.25,109,99,1,0
4.26,110,99,1,1
4.27,110,99,1,0
4.28,110,99,1,0
4.29,111,99,1,1
4.30,111,101,1,0
5.1,112,102,1,1
5.2,112,103,1,0
5.3,112,103,1,0
5.4,112,103,1,0
5.5,112,103,1,0
5.6,112,103,1,0
5.7,113,104,1,1
5.8,113,105,1,0
5.9,124,105,1,11
5.10,127,105,1,3
5.11,127,105,1,0
5.12,133,108,1,6
5.13,134,108,1,1
5.14,138,108,1,4
5.15,140,108,1,2
5.16,144,113,2,3
5.17,146,122,2,2
5.18,148,123,2,2
5.19,152,125,2,4
5.20,152,125,2,0
5.21,154,127,2,2
5.22,154,128,2,0
5.23,155,128,2,1
5.24,155,128,2,0
5.25,155,128,2,0
5.26,155,128,2,0
5.27,155,133,2,0
5.28,155,136,2,0
5.29,155,142,2,0
5.30,155,144,2,0
5.31,155,144,2,0
6.1,155,147,2,0
6.2,155,147,2,0
6.3,155,148,2,0
6.4,155,149,2,0
6.5,155,150,2,0
6.6,155,151,2,0
6.7,155,155,2,0
6.8,155,153,2,0
6.9,155,153,2,0
6.10,155,153,2,0
6.11,155,153,2,0
6.12,155,153,2,0
6.13,155,153,2,0
6.14,155,153,2,0
6.15,155,153,2,0
6.16,155,153,2,0
6.17,155,153,2,0
6.18,155,153,2,0
6.19,155,153,2,0
6.20,155,153,2,0
6.21,155,153,2,0
6.22,155,153,2,0
6.23,155,153,2,0
6.24,155,153,2,0
6.25,155,153,2,0
6.26,155,153,2,0
6.27,155,153,2,0
6.28,155,153,2,0
6.29,155,153,2,0
6.30,155,153,2,0
7.1,155,153,2,0
7.2,155,153,2,0
7.3,155,153,2,0
7.4,155,153,2,0
7.5,155,153,2,0
7.6,155,153,2,0
7.7,155,153,2,0
7.8,155,153,2,0
7.9,155,153,2,0
7.10,155,153,2,0
7.11,155,153,2,0
7.12,155,153,2,0
7.13,155,153,2,0
7.14,155,153,2,0
7.15,155,153,2,0
7.16,155,153,2,0
7.17,155,153,2,0
7.18,155,153,2,0
7.19,155,153,2,0
7.20,155,153,2,0
7.21,155,153,2,0
7.22,155,153,2,0
7.23,155,153,2,0
7.24,155,153,2,0
7.25,155,153,2,0
7.26,157,153,2,2
7.27,157,153,2,0
7.28,157,153,2,0
7.29,157,153,2,0
7.30,157,153,2,0
7.31,157,153,2,0
8.1,157,153,2,0
8.2,157,153,2,0
8.3,157,153,2,0
8.4,157,154,2,0
8.5,157,154,2,0
8.6,157,154,2,0
8.7,157,154,2,0
8.8,157,154,2,0
8.9,157,154,2,0
8.10,157,154,2,0
8.11,157,154,2,0
8.12,157,154,2,0
8.13,157,154,2,0
8.14,157,154,2,0
8.15,157,155,2,0
8.16,157,155,2,0
8.17,157,155,2,0
8.18,157,155,2,0
8.19,157,155,2,0
8.20,157,155,2,0
8.21,157,155,2,0
8.22,157,155,2,0
8.23,157,155,2,0
8.24,157,155,2,0
8.25,157,155,2,0
8.26,157,155,2,0
8.27,157,155,2,0
8.28,157,155,2,0
8.29,157,155,2,0
8.30,157,155,2,0
8.31,157,155,2,0
9.1,157,155,2,0
9.2,157,155,2,0
9.3,157,155,2,0
9.4,157,155,2,0
9.5,157,155,2,0
9.6,157,155,2,0
9.7,157,155,2,0
9.8,157,155,2,0
9.9,157,155,2,0
9.10,157,155,2,0
9.11,157,155,2,0
9.12,157,155,2,0
9.13,157,155,2,0
9.14,157,155,2,0
9.15,157,155,2,0
9.16,157,155,2,0
9.17,157,155,2,0
9.18,157,155,2,0
9.19,157,155,2,0
9.20,157,155,2,0
9.21,157,155,2,0
9.22,157,155,2,0
9.23,157,155,2,0
9.24,157,155,2,0
9.25,157,155,2,0
9.26,157,155,2,0
9.27,157,155,2,0
9.28,157,155,2,0
9.29,157,155,2,0
9.30,157,155,2,0
10.1,157,155,2,0
10.2,157,155,2,0
10.3,157,155,2,0
10.4,157,155,2,0
10.5,157,155,2,0
10.6,157,155,2,0
10.7,157,155,2,0
10.8,157,155,2,0
10.9,157,155,2,0
10.10,157,155,2,0
10.11,157,155,2,0
10.12,157,155,2,0
10.13,157,155,2,0
10.14,157,155,2,0
10.15,157,155,2,0
10.16,157,155,2,0
10.17,157,155,2,0
10.18,157,155,2,0
10.19,157,155,2,0
10.20,157,155,2,0
10.21,157,155,2,0
10.22,157,155,2,0
10.23,157,155,2,0
10.24,157,155,2,0
10.25,157,155,2,0
10.26,157,155,2,0
10.27,157,155,2,0
10.28,157,155,2,0
10.29,157,155,2,0
10.30,157,155,2,0
10.31,157,155,2,0
11.1,157,155,2,0
11.2,157,155,2,0
11.3,157,155,2,0
11.4,157,155,2,0
11.5,157,155,2,0
11.6,157,155,2,0
11.7,157,155,2,0
11.8,157,155,2,0
11.9,157,155,2,0
11.10,157,155,2,0
11.11,157,155,2,0
11.12,157,155,2,0
11.13,157,155,2,0
11.14,157,155,2,0
11.15,157,155,2,0
11.16,157,155,2,0
11.17,157,155,2,0
11.18,157,155,2,0
11.19,157,155,2,0
11.20,157,155,2,0
11.21,157,155,2,0
11.22,157,155,2,0
11.23,157,155,2,0
11.24,157,155,2,0
11.25,157,155,2,0
11.26,157,155,2,0
11.27,157,155,2,0
11.28,157,155,2,0
11.29,157,155,2,0
11.30,157,155,2,0
12.1,157,155,2,0
12.2,157,155,2,0
12.3,157,155,2,0
12.4,157,155,2,0
12.5,157,155,2,0
12.6,157,155,2,0
12.7,157,155,2,0
12.8,157,155,2,0
12.9,157,155,2,0
12.10,157,155,2,0
12.11,157,155,2,0
12.12,157,155,2,0
12.13,157,155,2,0
12.14,157,155,2,0
12.15,157,155,2,0
12.16,157,155,2,0
12.17,157,155,2,0
12.18,157,155,2,0
