日期,确诊,治愈,死亡,新增确诊
1.26,69,0,0,25
1.27,90,0,0,21
1.28,108,0,0,18
1.29,142,1,1,34
1.30,177,1,1,36
1.31,207,3,1,30
2.1,231,3,1,24
2.2,254,12,1,23
2.3,282,14,1,28
2.4,301,23,1,19
2.5,321,27,1,20
2.6,344,37,1,23
2.7,363,50,1,19
2.8,386,60,1,23
2.9,405,76,1,19
2.10,417,82,1,12
2.11,436,85,1,19
2.12,451,93,1,15
2.13,463,105,1,12
2.14,470,115,1,7
2.15,481,127,3,11
2.16,495,136,3,14
2.17,508,163,3,13
2.18,514,177,3,6
2.19,520,198,3,6
2.20,525,222,3,5
2.21,526,242,3,1
2.22,526,256,3,0
2.23,527,263,3,1
2.24,529,278,3,2
2.25,531,292,3,2
2.26,534,310,3,3
2.27,538,326,3,4
2.28,538,350,3,0
2.29,538,363,3,0
3.1,538,378,3,0
3.2,538,389,3,0
3.3,538,400,3,0
3.4,539,418,3,1
3.5,539,428,3,0
3.6,539,448,3,0
3.7,539,457,3,0
3.8,539,465,3,0
3.9,539,470,3,0
3.10,539,484,3,0
3.11,539,494,3,0
3.12,539,500,3,0
3.13,539,510,3,0
3.14,539,515,3,0
3.15,539,516,3,0
3.16,539,520,3,0
3.17,540,525,3,1
3.18,540,531,3,0
3.19,541,536,3,1
3.20,542,536,3,1
3.21,543,536,3,1
3.22,543,536,3,0
3.23,543,536,3,2
3.24,547,536,3,2
3.25,547,536,3,0
3.26,548,536,3,1
3.27,548,536,3,0
3.28,550,536,3,2
3.29,550,536,3,0
3.30,550,536,3,0
3.31,552,536,3,2
4.1,554,537,3,2
4.2,555,537,3,1
4.3,557,538,3,2
4.4,558,539,3,1
4.5,559,540,3,1
4.6,560,541,3,1
4.7,560,541,3,0
4.8,560,541,3,0
4.9,560,546,3,0
4.10,560,547,3,0
4.11,560,547,3,0
4.12,560,548,3,0
4.13,560,548,3,0
4.14,560,550,3,0
4.15,560,552,3,0
4.16,560,552,3,0
4.17,561,553,3,1
4.18,561,554,3,0
4.19,561,554,3,0
4.20,561,554,3,0
4.21,561,556,3,0
4.22,561,557,3,0
4.23,561,558,3,0
4.24,561,558,3,0
4.25,561,558,3,0
4.26,561,558,3,0
4.27,561,558,3,0
4.28,561,558,3,0
4.29,561,558,3,0
4.30,561,558,3,0
5.1,561,558,3,0
5.2,561,558,3,0
5.3,561,558,3,0
5.4,561,558,3,0
5.5,561,558,3,0
5.6,561,558,3,0
5.7,561,558,3,0
5.8,561,558,3,0
5.9,561,558,3,0
5.10,561,558,3,0
5.11,561,558,3,0
5.12,561,558,3,0
5.13,561,558,3,0
5.14,561,558,3,0
5.15,561,558,3,0
5.16,561,558,3,0
5.17,561,558,3,0
5.18,561,558,3,0
5.19,561,558,3,0
5.20,561,558,3,0
5.21,563,558,3,2
5.22,563,558,3,0
5.23,563,558,3,0
5.24,564,558,3,1
5.25,564,558,3,0
5.26,564,558,3,0
5.27,564,558,3,0
5.28,564,558,3,0
5.29,564,558,3,0
5.30,564,558,3,0
5.31,575,558,3,0
6.1,577,558,3,2
6.2,577,558,3,0
6.3,577,558,3,0
6.4,578,558,3,1
6.5,578,558,3,0
6.6,578,558,3,0
6.7,578,558,3,3
6.8,582,558,3,1
6.9,582,558,3,0
6.10,582,560,3,0
6.11,582,561,3,0
6.12,583,562,3,1
6.13,583,563,3,0
6.14,587,563,3,4
6.15,588,564,3,1
6.16,589,565,3,1
6.17,589,567,3,0
6.18,589,569,3,0
6.19,589,570,3,0
6.20,589,570,3,0
6.21,589,570,3,0
6.22,589,572,3,0
6.23,589,573,3,0
6.24,589,575,3,0
6.25,589,575,3,0
6.26,589,575,3,0
6.27,589,575,3,0
6.28,592,577,3,3
6.29,595,578,3,3
6.30,595,580,3,0
7.1,595,580,3,0
7.2,595,581,3,0
7.3,595,581,3,0
7.4,596,581,3,1
7.5,596,581,3,0
7.6,598,581,3,2
7.7,598,581,3,0
7.8,599,582,3,1
7.9,599,585,3,0
7.10,599,587,3,0
7.11,599,587,3,0
7.12,599,587,3,0
7.13,599,589,3,0
7.14,599,589,3,0
7.15,599,590,3,0
7.16,599,591,3,0
7.17,599,592,3,0
7.18,599,592,3,0
7.19,602,592,3,3
7.20,603,593,3,1
7.21,603,593,3,0
7.22,603,594,3,0
7.23,603,594,3,0
7.24,603,594,3,0
7.25,603,594,3,0
7.26,604,594,3,1
7.27,604,595,3,0
7.28,604,596,3,0
7.29,604,596,3,0
7.30,604,597,3,0
7.31,604,597,3,0
8.1,608,597,3,4
8.2,608,597,3,0
8.3,609,597,3,1
8.4,610,598,3,1
8.5,610,598,3,0
8.6,611,599,3,1
8.7,611,599,3,0
8.8,611,599,3,0
8.9,615,599,3,4
8.10,615,599,3,0
8.11,616,600,3,1
8.12,618,602,3,2
8.13,619,605,3,1
8.14,623,606,3,4
8.15,624,606,3,1
8.16,626,606,3,2
8.17,626,608,3,0
8.18,626,609,3,0
8.19,627,609,3,1
8.20,628,610,3,1
8.21,628,611,3,0
8.22,628,611,3,0
8.23,631,611,3,3
8.24,635,615,3,4
8.25,640,617,3,5
8.26,644,619,3,4
8.27,648,620,3,4
8.28,650,622,3,2
8.29,652,622,3,2
8.30,652,622,3,0
8.31,652,624,3,0
9.1,653,626,3,1
9.2,655,630,3,2
9.3,656,632,3,1
9.4,656,634,3,0
9.5,656,634,3,0
9.6,658,634,3,2
9.7,663,637,3,5
9.8,664,642,3,1
9.9,664,642,3,0
9.10,665,644,3,1
9.11,665,645,3,0
9.12,665,645,3,0
9.13,665,645,3,0
9.14,666,648,3,1
9.15,670,650,3,4
9.16,670,650,3,0
9.17,670,651,3,0
9.18,672,652,3,2
9.19,672,652,3,0
9.20,672,652,3,0
9.21,672,654,3,0
9.22,675,655,3,3
9.23,675,656,3,0
9.24,676,657,3,1
9.25,685,657,3,9
9.26,688,657,3,3
9.27,688,659,3,0
9.28,691,660,3,3
9.29,692,660,3,1
9.30,693,663,3,1
10.1,696,663,3,3
10.2,698,663,3,2
10.3,701,663,3,3
10.4,704,663,3,3
10.5,707,664,3,3
10.6,710,665,3,3
10.7,713,665,3,3
10.8,713,668,3,0
10.9,718,670,3,5
10.10,721,673,3,3
10.11,722,676,3,1
10.12,723,680,3,1
10.13,723,681,3,0
10.14,723,681,3,0
10.15,723,685,3,0
10.16,724,686,3,1
10.17,725,687,3,1
10.18,725,687,3,0
10.19,728,690,3,3
10.20,731,694,3,3
10.21,733,696,3,2
10.22,733,701,3,0
10.23,733,701,3,0
10.24,733,702,3,0
10.25,734,702,3,1
10.26,736,705,3,2
10.27,737,708,3,1
10.28,737,708,3,0
10.29,739,708,3,2
10.30,743,709,3,4
10.31,744,710,3,1
11.1,746,711,3,2
11.2,754,713,3,8
11.3,757,715,3,3
11.4,761,716,3,4
11.5,763,717,3,2
11.6,767,722,3,4
11.7,769,724,3,2
11.8,773,727,3,4
11.9,776,728,3,3
11.10,778,728,3,2
11.11,782,731,3,4
11.12,783,733,3,1
11.13,783,735,3,0
11.14,783,736,3,0
11.15,786,738,3,3
11.16,792,741,3,6
11.17,792,743,3,0
11.18,795,743,3,3
11.19,796,744,3,1
11.20,796,745,3,0
11.21,797,745,3,1
11.22,797,745,3,0
11.23,800,748,3,3
11.24,800,754,3,0
11.25,801,758,3,1
11.26,801,759,3,0
11.27,802,759,3,1
11.28,803,760,3,1
11.29,806,760,3,3
11.30,808,761,3,2
12.1,808,767,3,0
12.2,808,773,3,0
12.3,808,774,3,0
12.4,811,776,3,3
12.5,812,777,3,1
12.6,812,779,3,0
12.7,820,781,3,5
12.8,822,783,3,5
12.9,822,786,3,0
12.10,826,787,3,4
12.11,826,790,3,0
12.12,829,792,3,3
12.13,832,792,3,3
12.14,838,794,3,6
12.15,838,794,3,0
12.16,838,797,3,0
12.17,839,797,3,1
12.18,839,798,3,0
