日期,确诊,治愈,死亡,新增确诊
1.26,14,0,0,4
1.27,23,0,0,9
1.28,24,0,0,1
1.29,27,0,0,3
1.30,30,0,0,4
1.31,32,0,0,1
2.1,41,0,0,9
2.2,48,0,0,7
2.3,66,1,0,12
2.4,69,2,1,4
2.5,69,2,1,2
2.6,79,2,1,10
2.7,88,2,1,9
2.8,88,4,1,7
2.9,91,4,1,3
2.10,100,8,2,9
2.11,106,10,2,6
2.12,112,11,2,6
2.13,119,21,3,7
2.14,120,32,3,1
2.15,122,37,3,2
2.16,124,45,3,2
2.17,125,46,3,1
2.18,128,48,3,3
2.19,130,54,3,2
2.20,131,59,3,1
2.21,133,62,3,2
2.22,135,65,3,2
2.23,135,81,3,0
2.24,135,87,3,0
2.25,135,91,3,0
2.26,135,96,3,0
2.27,136,102,3,1
2.28,136,105,3,0
2.29,136,109,3,0
3.1,136,111,3,0
3.2,136,118,3,0
3.3,136,124,3,0
3.4,136,128,3,0
3.5,136,128,3,0
3.6,136,128,3,0
3.7,136,128,3,0
3.8,136,129,3,0
3.9,136,130,3,0
3.10,136,131,3,0
3.11,136,132,3,0
3.12,136,132,3,0
3.13,136,132,3,0
3.14,136,132,3,0
3.15,136,133,3,0
3.16,136,133,3,0
3.17,136,133,3,0
3.18,136,133,3,0
3.19,137,133,3,1
3.20,137,133,3,0
3.21,137,133,3,0
3.22,137,133,3,0
3.23,141,133,3,4
3.24,145,133,3,4
3.25,147,133,3,2
3.26,152,133,3,5
3.27,156,133,3,4
3.28,163,133,3,7
3.29,166,133,3,3
3.30,174,133,3,8
3.31,174,135,3,0
4.1,176,135,3,2
4.2,177,140,3,1
4.3,180,140,3,3
4.4,180,144,3,0
4.5,180,144,3,0
4.6,180,151,3,0
4.7,180,152,3,0
4.8,181,152,3,1
4.9,182,154,3,1
4.10,183,158,3,1
4.11,183,161,3,0
4.12,184,161,3,1
4.13,184,164,3,0
4.14,185,168,3,1
4.15,185,171,3,0
4.16,186,172,3,1
4.17,189,173,3,3
4.18,189,173,3,0
4.19,189,174,3,0
4.20,189,174,3,0
4.21,189,176,3,0
4.22,189,178,3,0
4.23,189,179,3,0
4.24,190,181,3,1
4.25,190,182,3,0
4.26,190,182,3,0
4.27,190,182,3,0
4.28,190,183,3,0
4.29,190,183,3,0
4.30,190,184,3,0
5.1,190,185,3,0
5.2,190,186,3,0
5.3,190,186,3,0
5.4,190,186,3,0
5.5,190,186,3,0
5.6,190,186,3,0
5.7,190,186,3,0
5.8,191,186,3,1
5.9,191,186,3,0
5.10,191,186,3,0
5.11,191,186,3,0
5.12,191,186,3,0
5.13,191,187,3,0
5.14,191,187,3,0
5.15,191,187,3,0
5.16,192,187,3,1
5.17,192,187,3,0
5.18,192,187,3,0
5.19,192,187,3,0
5.20,192,187,3,0
5.21,192,187,3,0
5.22,192,187,3,0
5.23,192,187,3,0
5.24,192,188,3,0
5.25,192,188,3,0
5.26,192,188,3,0
5.27,192,188,3,0
5.28,192,188,3,0
5.29,192,188,3,0
5.30,192,188,3,0
5.31,192,188,3,0
6.1,192,188,3,0
6.2,192,188,3,0
6.3,192,188,3,0
6.4,192,189,3,0
6.5,192,189,3,0
6.6,193,189,3,1
6.7,193,189,3,0
6.8,193,189,3,0
6.9,194,189,3,1
6.10,195,189,3,1
6.11,195,189,3,0
6.12,196,189,3,1
6.13,196,189,3,0
6.14,196,189,3,0
6.15,196,189,3,0
6.16,196,189,3,0
6.17,197,191,3,1
6.18,197,191,3,0
6.19,197,191,3,0
6.20,197,191,3,0
6.21,198,191,3,1
6.22,198,192,3,0
6.23,198,192,3,0
6.24,198,192,3,0
6.25,198,193,3,0
6.26,198,193,3,0
6.27,198,193,3,0
6.28,198,194,3,0
6.29,198,194,3,0
6.30,198,194,3,0
7.1,198,194,3,0
7.2,198,194,3,0
7.3,198,194,3,0
7.4,199,194,3,1
7.5,199,194,3,0
7.6,199,194,3,0
7.7,199,194,3,0
7.8,199,195,3,0
7.9,199,195,3,0
7.10,199,195,3,0
7.11,203,195,3,4
7.12,203,195,3,0
7.13,203,195,3,0
7.14,203,195,3,0
7.15,203,195,3,0
7.16,203,195,3,0
7.17,203,195,3,0
7.18,203,195,3,0
7.19,203,195,3,0
7.20,203,195,3,0
7.21,203,195,3,0
7.22,203,195,3,0
7.23,203,195,3,0
7.24,203,195,3,0
7.25,204,195,3,1
7.26,204,195,3,0
7.27,204,195,3,0
7.28,204,195,3,0
7.29,204,195,3,0
7.30,205,195,3,1
7.31,205,195,3,0
8.1,205,196,3,0
8.2,205,196,3,0
8.3,205,196,3,0
8.4,205,196,3,0
8.5,205,197,3,0
8.6,205,197,3,0
8.7,205,197,3,0
8.8,205,199,3,0
8.9,205,200,3,0
8.10,205,201,3,0
8.11,205,202,3,0
8.12,205,202,3,0
8.13,205,202,3,0
8.14,205,202,3,0
8.15,207,202,3,2
8.16,207,202,3,0
8.17,209,202,3,0
8.18,209,202,3,0
8.19,210,202,3,1
8.20,216,202,3,6
8.21,216,202,3,0
8.22,218,203,3,2
8.23,218,203,3,0
8.24,219,203,3,1
8.25,220,203,3,1
8.26,220,203,3,0
8.27,220,205,3,0
8.28,220,205,3,0
8.29,221,213,3,1
8.30,226,213,3,5
8.31,229,213,3,3
9.1,229,213,3,0
9.2,229,214,3,0
9.3,230,214,3,1
9.4,231,214,3,1
9.5,231,214,3,0
9.6,232,215,3,1
9.7,233,215,3,1
9.8,233,216,3,0
9.9,233,216,3,0
9.10,233,220,3,0
9.11,233,220,3,0
9.12,234,221,3,1
9.13,234,225,3,0
9.14,234,225,3,0
9.15,234,225,3,0
9.16,234,225,3,0
9.17,237,225,3,3
9.18,237,226,3,0
9.19,237,226,3,0
9.20,237,227,3,0
9.21,238,228,3,1
9.22,239,229,3,1
9.23,239,230,3,0
9.24,239,230,3,0
9.25,240,230,3,1
9.26,240,233,3,0
9.27,240,233,3,0
9.28,240,233,3,0
9.29,240,233,3,0
9.30,240,233,3,0
10.1,240,234,3,0
10.2,240,234,3,0
10.3,241,234,3,1
10.4,241,234,3,0
10.5,242,235,3,1
10.6,242,235,3,0
10.7,242,235,3,0
10.8,242,235,3,0
10.9,244,236,3,2
10.10,244,236,3,0
10.11,245,238,3,1
10.12,245,238,3,0
10.13,245,238,3,0
10.14,245,238,3,0
10.15,247,240,3,2
10.16,251,240,3,4
10.17,252,240,3,1
