日期,确诊,治愈,死亡,新增确诊
1.26,11,0,0,3
1.27,13,0,0,4
1.28,16,0,0,1
1.29,18,0,0,5
1.30,20,0,0,4
1.31,23,0,0,5
2.1,27,0,0,2
2.2,34,0,0,3
2.3,34,1,0,3
2.4,34,1,0,0
2.5,40,1,0,6
2.6,43,1,0,3
2.7,45,3,0,2
2.8,45,13,0,1
2.9,49,13,0,4
2.10,53,14,0,4
2.11,58,22,0,5
2.12,64,24,0,6
2.13,67,24,0,3
2.14,70,27,0,3
2.15,70,33,0,0
2.16,70,33,0,0
2.17,70,35,0,0
2.18,71,42,0,1
2.19,71,42,0,0
2.20,71,44,0,0
2.21,71,48,0,0
2.22,71,48,0,0
2.23,71,57,0,0
2.24,71,58,0,0
2.25,71,61,0,0
2.26,72,65,0,1
2.27,72,68,0,0
2.28,73,68,0,1
2.29,73,69,0,0
3.1,74,69,0,1
3.2,74,69,0,0
3.3,75,69,0,1
3.4,75,69,0,0
3.5,75,69,0,0
3.6,75,71,0,0
3.7,75,71,0,0
3.8,75,71,0,0
3.9,75,71,0,0
3.10,75,71,0,0
3.11,75,72,0,0
3.12,75,72,0,0
3.13,75,72,0,0
3.14,75,73,0,0
3.15,75,73,0,0
3.16,75,75,0,0
3.17,75,75,0,0
3.18,75,75,0,0
3.19,75,75,0,0
3.20,75,75,0,0
3.21,75,75,0,0
3.22,75,75,0,0
3.23,75,75,0,0
3.24,75,75,0,0
3.25,75,75,0,0
3.26,75,75,0,0
3.27,75,75,0,0
3.28,75,75,0,0
3.29,75,75,0,0
3.30,75,75,0,0
3.31,75,75,0,0
4.1,75,75,0,0
4.2,75,75,0,0
4.3,75,75,0,0
4.4,75,75,0,0
4.5,75,75,0,0
4.6,75,75,0,0
4.7,75,75,0,0
4.8,75,75,0,0
4.9,75,75,0,0
4.10,75,75,0,0
4.11,75,75,0,0
4.12,75,75,0,0
4.13,75,75,0,0
4.14,75,75,0,0
4.15,75,75,0,0
4.16,75,75,0,0
4.17,75,75,0,0
4.18,75,75,0,0
4.19,75,75,0,0
4.20,75,75,0,0
4.21,75,75,0,0
4.22,75,75,0,0
4.23,75,75,0,0
4.24,75,75,0,0
4.25,75,75,0,0
4.26,75,75,0,0
4.27,75,75,0,0
4.28,75,75,0,0
4.29,75,75,0,0
4.30,75,75,0,0
5.1,75,75,0,0
5.2,75,75,0,0
5.3,75,75,0,0
5.4,75,75,0,0
5.5,75,75,0,0
5.6,75,75,0,0
5.7,75,75,0,0
5.8,75,75,0,0
5.9,75,75,0,0
5.10,75,75,0,0
5.11,75,75,0,0
5.12,75,75,0,0
5.13,75,75,0,0
5.14,75,75,0,0
5.15,75,75,0,0
5.16,75,75,0,0
5.17,75,75,0,0
5.18,75,75,0,0
5.19,75,75,0,0
5.20,75,75,0,0
5.21,75,75,0,0
5.22,75,75,0,0
5.23,75,75,0,0
5.24,75,75,0,0
5.25,75,75,0,0
5.26,75,75,0,0
5.27,75,75,0,0
5.28,75,75,0,0
5.29,75,75,0,0
5.30,75,75,0,0
5.31,75,75,0,0
6.1,75,75,0,0
6.2,75,75,0,0
6.3,75,75,0,0
6.4,75,75,0,0
6.5,75,75,0,0
6.6,75,75,0,0
6.7,75,75,0,0
6.8,75,75,0,0
6.9,75,75,0,0
6.10,75,75,0,0
6.11,75,75,0,0
6.12,75,75,0,0
6.13,75,75,0,0
6.14,75,75,0,0
6.15,75,75,0,0
6.16,75,75,0,0
6.17,75,75,0,0
6.18,75,75,0,0
6.19,75,75,0,0
6.20,75,75,0,0
6.21,75,75,0,0
6.22,75,75,0,0
6.23,75,75,0,0
6.24,75,75,0,0
6.25,75,75,0,0
6.26,75,75,0,0
6.27,75,75,0,0
6.28,75,75,0,0
6.29,75,75,0,0
6.30,75,75,0,0
7.1,75,75,0,0
7.2,75,75,0,0
7.3,75,75,0,0
7.4,75,75,0,0
7.5,75,75,0,0
7.6,75,75,0,0
7.7,75,75,0,0
7.8,75,75,0,0
7.9,75,75,0,0
7.10,75,75,0,0
7.11,75,75,0,0
7.12,75,75,0,0
7.13,75,75,0,0
7.14,75,75,0,0
7.15,75,75,0,0
7.16,75,75,0,0
7.17,75,75,0,0
7.18,75,75,0,0
7.19,75,75,0,0
7.20,75,75,0,0
7.21,75,75,0,0
7.22,75,75,0,0
7.23,75,75,0,0
7.24,75,75,0,0
7.25,75,75,0,0
7.26,75,75,0,0
7.27,75,75,0,0
7.28,75,75,0,0
7.29,75,75,0,0
7.30,75,75,0,0
7.31,75,75,0,0
8.1,75,75,0,0
8.2,75,75,0,0
8.3,75,75,0,0
8.4,75,75,0,0
8.5,75,75,0,0
8.6,75,75,0,0
8.7,75,75,0,0
8.8,75,75,0,0
8.9,75,75,0,0
8.10,75,75,0,0
8.11,75,75,0,0
8.12,75,75,0,0
8.13,75,75,0,0
8.14,75,75,0,0
8.15,75,75,0,0
8.16,75,75,0,0
8.17,75,75,0,0
8.18,75,75,0,0
8.19,75,75,0,0
8.20,75,75,0,0
8.21,75,75,0,0
8.22,75,75,0,0
8.23,75,75,0,0
8.24,75,75,0,0
8.25,75,75,0,0
8.26,75,75,0,0
8.27,75,75,0,0
8.28,75,75,0,0
8.29,75,75,0,0
8.30,75,75,0,0
8.31,75,75,0,0
9.1,75,75,0,0
9.2,75,75,0,0
9.3,75,75,0,0
9.4,75,75,0,0
9.5,75,75,0,0
9.6,75,75,0,0
9.7,75,75,0,0
9.8,75,75,0,0
9.9,75,75,0,0
9.10,75,75,0,0
9.11,75,75,0,0
9.12,75,75,0,0
9.13,75,75,0,0
9.14,75,75,0,0
9.15,75,75,0,0
9.16,75,75,0,0
9.17,75,75,0,0
9.18,75,75,0,0
9.19,75,75,0,0
9.20,75,75,0,0
9.21,75,75,0,0
9.22,75,75,0,0
9.23,75,75,0,0
9.24,75,75,0,0
9.25,75,75,0,0
9.26,75,75,0,0
9.27,75,75,0,0
9.28,75,75,0,0
9.29,75,75,0,0
9.30,75,75,0,0
10.1,75,75,0,0
10.2,75,75,0,0
10.3,75,75,0,0
10.4,75,75,0,0
10.5,75,75,0,0
10.6,75,75,0,0
10.7,75,75,0,0
10.8,75,75,0,0
10.9,75,75,0,0
10.10,75,75,0,0
10.11,75,75,0,0
10.12,75,75,0,0
10.13,75,75,0,0
10.14,75,75,0,0
10.15,75,75,0,0
10.16,75,75,0,0
10.17,75,75,0,0
10.18,75,75,0,0
10.19,75,75,0,0
10.20,75,75,0,0
10.21,75,75,0,0
10.22,75,75,0,0
10.23,75,75,0,0
10.24,75,75,0,0
10.25,75,75,0,0
10.26,75,75,0,0
10.27,75,75,0,0
10.28,75,75,0,0
10.29,75,75,0,0
10.30,75,75,0,0
10.31,75,75,0,0
11.1,75,75,0,0
11.2,75,75,0,0
11.3,75,75,0,0
11.4,75,75,0,0
11.5,75,75,0,0
11.6,75,75,0,0
11.7,75,75,0,0
11.8,75,75,0,0
11.9,75,75,0,0
11.10,75,75,0,0
11.11,75,75,0,0
11.12,75,75,0,0
11.13,75,75,0,0
11.14,75,75,0,0
11.15,75,75,0,0
11.16,75,75,0,0
11.17,75,75,0,0
11.18,75,75,0,0
11.19,75,75,0,0
11.20,75,75,0,0
11.21,75,75,0,0
11.22,75,75,0,0
11.23,75,75,0,0
11.24,75,75,0,0
11.25,75,75,0,0
11.26,75,75,0,0
11.27,75,75,0,0
11.28,75,75,0,0
11.29,75,75,0,0
11.30,75,75,0,0
12.1,75,75,0,0
12.2,75,75,0,0
12.3,75,75,0,0
12.4,75,75,0,0
12.5,75,75,0,0
12.6,75,75,0,0
12.7,75,75,0,0
12.8,75,75,0,0
12.9,75,75,0,0
12.10,75,75,0,0
12.11,75,75,0,0
12.12,75,75,0,0
12.13,75,75,0,0
12.14,75,75,0,0
12.15,75,75,0,0
12.16,75,75,0,0
12.17,75,75,0,0
12.18,75,75,0,0
