日期,确诊,治愈,死亡,新增确诊
1.26,63,0,0,24
1.27,87,0,0,24
1.28,121,0,0,34
1.29,145,1,0,24
1.30,178,2,0,33
1.31,202,2,0,24
2.1,225,5,0,23
2.2,246,6,0,21
2.3,270,7,0,24
2.4,298,13,0,28
2.5,343,20,0,36
2.6,379,31,0,32
2.7,407,38,0,36
2.8,435,50,1,19
2.9,459,63,1,24
2.10,486,71,1,27
2.11,497,80,1,11
2.12,506,98,2,9
2.13,519,111,2,13
2.14,530,139,2,11
2.15,537,164,2,7
2.16,541,175,2,4
2.17,543,193,2,2
2.18,544,215,3,1
2.19,546,238,4,2
2.20,748,270,4,202
2.21,750,293,4,2
2.22,754,311,4,4
2.23,755,325,4,1
2.24,755,343,6,0
2.25,756,357,6,1
2.26,756,381,6,0
2.27,756,390,6,0
2.28,756,411,6,0
2.29,756,431,6,0
3.1,758,455,6,2
3.2,758,497,6,0
3.3,758,511,6,0
3.4,758,576,6,0
3.5,758,602,6,0
3.6,758,625,6,0
3.7,758,637,6,0
3.8,758,647,6,0
3.9,758,703,6,0
3.10,759,721,6,1
3.11,760,733,6,1
3.12,760,739,7,0
3.13,760,740,7,0
3.14,760,741,7,0
3.15,760,743,7,0
3.16,761,746,7,1
3.17,761,746,7,0
3.18,761,747,7,0
3.19,762,748,7,1
3.20,764,749,7,2
3.21,765,750,7,1
3.22,767,751,7,2
3.23,768,752,7,1
3.24,769,752,7,1
3.25,769,752,7,0
3.26,771,752,7,2
3.27,772,752,7,1
3.28,772,752,7,0
3.29,773,753,7,1
3.30,774,753,7,1
3.31,774,753,7,0
4.1,775,753,7,1
4.2,778,754,7,3
4.3,778,755,7,0
4.4,779,755,7,1
4.5,780,755,7,1
4.6,781,755,7,1
4.7,783,755,7,2
4.8,783,756,7,0
4.9,783,756,7,0
4.10,784,757,7,1
4.11,784,757,7,0
4.12,784,758,7,0
4.13,784,759,7,0
4.14,784,761,7,0
4.15,784,761,7,0
4.16,787,761,7,3
4.17,787,765,7,0
4.18,787,765,7,0
4.19,787,765,7,0
4.20,787,765,7,0
4.21,787,766,7,0
4.22,787,766,7,0
4.23,787,766,7,0
4.24,787,767,7,0
4.25,787,767,7,0
4.26,787,768,7,0
4.27,787,768,7,0
4.28,787,771,7,0
4.29,787,772,7,0
4.30,787,772,7,0
5.1,787,772,7,0
5.2,787,772,7,0
5.3,788,773,7,1
5.4,788,773,7,0
5.5,788,775,7,0
5.6,788,775,7,0
5.7,788,776,7,0
5.8,788,776,7,0
