日期,确诊,治愈,死亡,新增确诊
1.26,13,0,0,4
1.27,20,0,0,7
1.28,27,0,0,7
1.29,35,1,0,8
1.30,39,1,0,4
1.31,47,1,0,8
2.1,56,1,0,9
2.2,66,2,0,10
2.3,74,2,0,8
2.4,81,4,0,7
2.5,90,6,0,9
2.6,96,12,0,6
2.7,104,15,0,8
2.8,115,21,0,12
2.9,119,25,0,4
2.10,122,26,0,3
2.11,124,30,0,2
2.12,126,33,0,2
2.13,126,36,0,0
2.14,127,38,0,1
2.15,128,46,0,1
2.16,129,50,0,1
2.17,130,53,0,1
2.18,131,61,0,1
2.19,131,68,0,0
2.20,132,76,0,1
2.21,132,78,0,0
2.22,132,81,0,0
2.23,132,88,0,0
2.24,133,94,0,1
2.25,133,98,0,0
2.26,133,104,0,0
2.27,133,107,0,0
2.28,133,112,0,0
2.29,133,114,0,0
3.1,133,116,0,0
3.2,133,119,0,0
3.3,133,124,0,0
3.4,133,124,0,0
3.5,133,126,0,0
3.6,133,126,0,0
3.7,133,126,0,0
3.8,133,126,0,0
3.9,133,127,0,0
3.10,133,131,0,0
3.11,133,131,0,0
3.12,133,132,0,0
3.13,133,133,0,0
3.14,133,133,0,0
3.15,133,133,0,0
3.16,133,133,0,0
3.17,133,133,0,0
3.18,133,133,0,0
3.19,133,133,0,0
3.20,133,133,0,0
3.21,133,133,0,0
3.22,133,133,0,0
3.23,134,133,0,1
3.24,134,133,0,0
3.25,135,133,0,1
3.26,135,133,0,0
3.27,135,133,0,0
3.28,136,133,0,1
3.29,136,133,0,0
3.30,136,133,0,0
3.31,137,133,0,1
4.1,137,133,0,0
4.2,137,133,0,0
4.3,137,133,0,0
4.4,138,133,0,1
4.5,138,133,0,0
4.6,138,133,0,0
4.7,163,134,0,25
4.8,166,134,0,3
4.9,168,134,0,2
4.10,172,135,0,4
4.11,172,135,0,0
4.12,173,135,0,1
4.13,173,135,0,0
4.14,186,135,0,13
4.15,194,135,0,8
4.16,197,135,0,3
4.17,197,135,0,0
4.18,197,135,0,0
4.19,197,135,0,0
4.20,197,140,0,0
4.21,197,140,0,0
4.22,197,142,0,0
4.23,197,142,0,0
4.24,197,149,0,0
4.25,197,154,0,0
4.26,197,157,0,0
4.27,197,160,0,0
4.28,197,160,0,0
4.29,197,164,0,0
4.30,197,172,0,0
5.1,197,176,0,0
5.2,198,176,0,1
5.3,198,180,0,0
5.4,198,190,0,0
5.5,198,193,0,0
5.6,198,194,0,0
5.7,198,195,0,0
5.8,198,196,0,0
5.9,198,197,0,0
5.10,198,197,0,0
5.11,198,197,0,0
5.12,198,198,0,0
5.13,198,198,0,0
5.14,198,198,0,0
5.15,198,198,0,0
5.16,198,198,0,0
5.17,198,198,0,0
5.18,198,198,0,0
5.19,198,198,0,0
5.20,198,198,0,0
5.21,198,198,0,0
5.22,198,198,0,0
5.23,198,198,0,0
5.24,198,198,0,0
5.25,198,198,0,0
5.26,198,198,0,0
5.27,198,198,0,0
5.28,198,198,0,0
5.29,198,198,0,0
5.30,198,198,0,0
5.31,198,198,0,0
6.1,198,198,0,0
6.2,198,198,0,0
6.3,198,198,0,0
6.4,198,198,0,0
6.5,198,198,0,0
6.6,198,198,0,0
6.7,198,198,0,0
6.8,198,198,0,0
6.9,198,198,0,0
6.10,198,198,0,0
6.11,198,198,0,0
6.12,198,198,0,0
6.13,198,198,0,0
6.14,198,198,0,0
6.15,198,198,0,0
6.16,198,198,0,0
6.17,198,198,0,0
6.18,198,198,0,0
6.19,198,198,0,0
6.20,198,198,0,0
6.21,198,198,0,0
6.22,198,198,0,0
6.23,198,198,0,0
6.24,198,198,0,0
6.25,198,198,0,0
6.26,198,198,0,0
6.27,198,198,0,0
6.28,198,198,0,0
6.29,198,198,0,0
6.30,198,198,0,0
7.1,198,198,0,0
7.2,198,198,0,0
7.3,198,198,0,0
7.4,198,198,0,0
7.5,198,198,0,0
7.6,198,198,0,0
7.7,199,198,0,1
7.8,199,198,0,0
7.9,200,198,0,1
7.10,200,198,0,1
7.11,200,198,0,0
7.12,200,198,0,0
7.13,200,198,0,0
7.14,201,198,0,1
7.15,201,198,0,0
7.16,201,200,0,0
7.17,201,200,0,0
7.18,201,200,0,0
7.19,201,200,0,0
7.20,201,200,0,0
7.21,201,200,0,0
7.22,201,200,0,0
7.23,201,201,0,0
7.24,201,201,0,0
7.25,201,201,0,0
7.26,201,201,0,0
7.27,201,201,0,0
7.28,201,201,0,0
7.29,201,201,0,0
7.30,201,201,0,0
7.31,201,201,0,0
8.1,201,201,0,0
8.2,201,201,0,0
8.3,201,201,0,0
8.4,201,201,0,0
8.5,201,201,0,0
8.6,201,201,0,0
8.7,201,201,0,0
8.8,201,201,0,0
8.9,201,201,0,0
8.10,201,201,0,0
8.11,201,201,0,0
8.12,201,201,0,0
8.13,201,201,0,0
8.14,201,201,0,0
8.15,201,201,0,0
8.16,201,201,0,0
8.17,201,201,0,0
8.18,201,201,0,0
8.19,201,201,0,0
8.20,201,201,0,0
8.21,201,201,0,0
8.22,201,201,0,0
8.23,202,201,0,1
8.24,202,201,0,0
8.25,202,201,0,0
8.26,202,201,0,0
8.27,202,201,0,0
8.28,202,201,0,0
8.29,202,201,0,0
8.30,203,201,0,1
8.31,203,201,0,0
9.1,203,201,0,0
9.2,203,201,0,0
9.3,203,201,0,0
9.4,203,201,0,0
9.5,203,201,0,0
9.6,203,201,0,0
9.7,203,201,0,0
9.8,203,201,0,0
9.9,203,201,0,0
9.10,203,201,0,0
9.11,203,202,0,0
9.12,203,202,0,0
9.13,203,202,0,0
9.14,203,202,0,0
9.15,203,202,0,0
9.16,203,202,0,0
