日期,确诊,治愈,死亡,新增确诊
1.26,146,2,0,48
1.27,188,4,0,42
1.28,241,5,0,53
1.29,311,6,0,70
1.30,393,9,0,82
1.31,520,9,0,127
2.1,604,12,0,84
2.2,683,14,0,79
2.3,797,21,0,114
2.4,870,32,0,73
2.5,944,50,0,74
2.6,1018,68,1,74
2.7,1075,97,1,57
2.8,1120,125,1,45
2.9,1151,143,1,31
2.10,1177,181,1,26
2.11,1219,241,1,42
2.12,1241,284,2,22
2.13,1261,332,2,20
2.14,1294,386,2,33
2.15,1316,436,2,22
2.16,1322,473,4,6
2.17,1328,530,4,6
2.18,1331,571,5,3
2.19,1332,619,5,1
2.20,1333,664,5,1
2.21,1339,720,5,6
2.22,1342,740,6,3
2.23,1345,772,6,3
2.24,1347,805,7,2
2.25,1347,841,7,0
2.26,1347,873,7,0
2.27,1348,919,7,1
2.28,1349,972,7,1
2.29,1349,1009,7,0
3.1,1350,1034,7,1
3.2,1350,1081,7,0
3.3,1350,1129,7,0
3.4,1350,1159,7,0
3.5,1351,1209,7,1
3.6,1352,1233,7,1
3.7,1352,1250,7,0
3.8,1352,1260,8,0
3.9,1353,1270,8,1
3.10,1353,1282,8,0
3.11,1356,1288,8,3
3.12,1356,1296,8,0
3.13,1356,1299,8,0
3.14,1357,1303,8,1
3.15,1361,1306,8,4
3.16,1364,1307,8,3
3.17,1369,1312,8,5
3.19,1392,1322,8,14
3.20,1399,1325,8,7
3.21,1407,1329,8,8
3.22,1413,1332,8,6
3.23,1428,1333,8,15
3.24,1433,1334,8,5
3.25,1444,1336,8,11
3.26,1456,1337,8,12
3.27,1467,1341,8,11
3.28,1475,1349,8,8
3.29,1484,1351,8,9
3.30,1490,1353,8,6
3.31,1501,1357,8,11
4.1,1507,1365,8,6
4.2,1514,1368,8,7
4.3,1516,1378,8,2
4.4,1524,1378,8,5
4.5,1532,1395,8,8
4.6,1533,1401,8,1
4.7,1536,1411,8,3
4.8,1539,1423,8,3
4.9,1544,1434,8,5
4.10,1548,1437,8,4
4.11,1552,1443,8,4
4.12,1555,1454,8,3
4.13,1564,1458,8,9
4.14,1566,1462,8,2
4.15,1571,1471,8,5
4.16,1577,1475,8,6
4.17,1579,1482,8,2
4.18,1580,1490,8,1
4.19,1581,1494,8,1
4.20,1582,1501,8,1
4.21,1582,1511,8,0
4.22,1584,1518,8,2
4.23,1585,1528,8,1
4.24,1585,1534,8,0
4.25,1586,1542,8,1
4.26,1587,1542,8,1
4.27,1587,1547,8,0
4.28,1588,1554,8,1
4.29,1588,1557,8,0
4.30,1588,1565,8,0
5.1,1588,1567,8,0
5.2,1588,1567,8,0
5.3,1588,1569,8,0
5.4,1588,1571,8,0
5.5,1588,1575,8,0
5.6,1589,1575,8,1
5.7,1589,1575,8,0
5.8,1589,1576,8,0
5.9,1589,1576,8,0
5.10,1589,1577,8,0
5.11,1589,1578,8,0
5.12,1589,1578,8,0
5.13,1589,1579,8,0
5.14,1589,1579,8,0
5.15,1589,1579,8,0
5.16,1590,1579,8,1
5.17,1590,1579,8,0
5.18,1590,1579,8,0
5.19,1590,1579,8,0
5.20,1591,1579,8,1
5.21,1591,1580,8,0
5.22,1591,1580,8,0
5.23,1592,1580,8,1
5.24,1592,1581,8,0
5.25,1592,1581,8,0
5.26,1592,1581,8,0
5.27,1592,1582,8,0
5.28,1592,1582,8,0
5.29,1593,1583,8,1
5.30,1593,1583,8,0
5.31,1595,1583,8,2
6.1,1596,1583,8,1
6.2,1597,1583,8,1
6.3,1598,1583,8,1
6.4,1598,1584,8,0
6.5,1601,1584,8,3
6.6,1602,1584,8,1
6.7,1602,1585,8,0
6.8,1604,1586,8,2
6.9,1604,1587,8,0
6.10,1607,1588,8,3
6.11,1607,1589,8,0
6.12,1608,1590,8,1
6.13,1625,1590,8,17
6.14,1625,1590,8,0
6.15,1628,1592,8,3
6.16,1628,1593,8,0
6.17,1628,1603,8,0
6.18,1631,1604,8,3
6.19,1634,1613,8,3
6.20,1634,1614,8,0
6.21,1634,1614,8,0
6.22,1634,1619,8,0
6.23,1634,1620,8,0
6.24,1635,1621,8,1
6.25,1635,1621,8,0
6.26,1637,1622,8,2
6.27,1637,1622,8,0
6.28,1637,1625,8,0
6.29,1641,1627,8,4
6.30,1641,1627,8,0
7.1,1642,1627,8,1
7.2,1642,1629,8,0
7.3,1643,1629,8,1
7.4,1643,1631,8,0
7.5,1643,1631,8,0
7.6,1644,1631,8,1
7.7,1645,1631,8,1
7.8,1647,1631,8,2
7.9,1647,1634,8,0
7.10,1648,1634,8,1
7.11,1648,1634,8,0
7.12,1650,1634,8,2
7.13,1650,1635,8,0
7.14,1650,1636,8,0
7.15,1650,1636,8,0
7.16,1654,1636,8,4
7.17,1657,1636,8,3
7.18,1659,1636,8,2
7.19,1659,1637,8,0
7.20,1659,1637,8,0
7.21,1661,1637,8,2
7.22,1662,1637,8,1
7.23,1667,1639,8,5
7.24,1669,1641,8,2
7.25,1672,1642,8,3
7.26,1672,1645,8,0
7.27,1672,1645,8,0
7.28,1674,1648,8,2
7.29,1675,1651,8,1
7.30,1678,1653,8,3
7.31,1680,1653,8,2
8.1,1682,1654,8,2
8.2,1683,1657,8,1
8.3,1687,1659,8,4
8.4,1687,1661,8,0
8.5,1687,1661,8,0
8.6,1687,1663,8,0
8.7,1688,1664,8,1
8.8,1693,1669,8,5
8.9,1696,1671,8,3
8.10,1699,1672,8,3
8.11,1705,1676,8,6
8.12,1707,1678,8,2
8.13,1707,1681,8,0
8.14,1709,1683,8,2
8.15,1712,1684,8,3
8.16,1720,1684,8,8
8.17,1721,1687,8,1
8.18,1725,1689,8,4
8.19,1725,1691,8,0
8.20,1725,1695,8,0
8.21,1725,1696,8,0
8.22,1727,1701,8,2
8.23,1727,1701,8,0
8.24,1730,1702,8,3
8.25,1734,1704,8,4
8.26,1734,1706,8,0
8.27,1735,1715,8,1
8.28,1737,1716,8,2
8.29,1738,1718,8,1
8.30,1739,1719,8,1
8.31,1740,1721,8,1
9.1,1742,1721,8,2
9.2,1745,1722,8,3
9.3,1758,1722,8,13
9.4,1760,1723,8,2
9.5,1763,1727,8,3
9.6,1767,1733,8,4
9.7,1769,1735,8,2
9.8,1769,1737,8,0
9.9,1770,1743,8,1
9.10,1774,1745,8,4
9.11,1776,1745,8,2
9.12,1777,1749,8,1
9.13,1778,1751,8,1
9.14,1782,1753,8,4
9.15,1783,1757,8,1
9.16,1784,1760,8,1
9.17,1787,1764,8,3
9.18,1793,1767,8,6
9.19,1797,1768,8,4
9.20,1800,1771,8,3
9.21,1803,1774,8,3
9.22,1807,1777,8,4
9.23,1807,1780,8,0
9.24,1809,1782,8,2
9.25,1812,1785,8,3
9.26,1814,1785,8,2
9.27,1819,1789,8,5
9.28,1819,1792,8,0
9.29,1827,1796,8,8
9.30,1829,1799,8,2
10.1,1831,1800,8,2
10.2,1834,1803,8,3
10.3,1840,1804,8,6
10.4,1841,1806,8,1
10.5,1846,1808,8,5
10.6,1848,1811,8,2
10.7,1848,1815,8,0
10.8,1851,1821,8,3
10.9,1852,1822,8,1
10.10,1858,1823,8,6
10.11,1861,1823,8,3
10.12,1863,1825,8,2
10.13,1869,1826,8,6
10.14,1873,1829,8,4
10.15,1875,1831,8,2
10.16,1877,1832,8,2
10.17,1881,1836,8,4
10.18,1884,1840,8,3
10.19,1889,1841,8,5
10.20,1892,1844,8,3
10.21,1895,1848,8,3
10.22,1895,1851,8,0
10.23,1904,1857,8,9
10.24,1907,1861,8,3
10.25,1908,1865,8,1
10.26,1909,1869,8,1
10.27,1911,1870,8,2
10.28,1914,1870,8,3
10.29,1916,1877,8,2
10.30,1919,1882,8,3
10.31,1922,1882,8,3
11.1,1927,1887,8,5
11.2,1935,1891,8,8
11.3,1938,1892,8,3
11.4,1938,1896,8,0
11.5,1941,1899,8,3
11.6,1943,1902,8,2
11.7,1945,1902,8,2
11.8,1949,1904,8,4
11.9,1955,1909,8,6
11.10,1955,1915,8,0
11.11,1956,1918,8,1
11.12,1956,1921,8,0
11.13,1963,1922,8,7
11.14,1966,1922,8,3
11.15,1968,1923,8,2
11.16,1971,1925,8,3
