日期,确诊,治愈,死亡,新增确诊
1.26,47,1,0,16
1.27,70,1,0,23
1.28,99,1,0,29
1.29,129,1,0,30
1.30,168,2,0,39
1.31,202,5,0,34
2.1,236,6,0,34
2.2,271,7,0,35
2.3,308,8,0,37
2.4,341,13,0,33
2.5,373,28,0,32
2.6,408,38,0,35
2.7,439,43,0,31
2.8,468,51,0,29
2.9,492,72,0,24
2.10,515,84,0,23
2.11,543,94,0,28
2.12,570,131,0,27
2.13,593,137,0,23
2.14,604,160,0,11
2.15,617,190,0,13
2.16,626,226,0,9
2.17,629,263,0,3
2.18,631,296,0,2
2.19,631,325,0,0
2.20,631,352,0,0
2.21,631,387,0,0
2.22,631,411,0,0
2.23,631,427,0,0
2.24,631,458,0,0
2.25,631,463,0,0
2.26,631,494,0,0
2.27,631,506,0,0
2.28,631,519,0,0
2.29,631,529,0,0
3.1,631,536,0,0
3.2,631,555,0,0
3.3,631,565,0,0
3.4,631,580,0,0
3.5,631,588,0,0
3.6,631,601,0,0
3.7,631,610,0,0
3.8,631,618,0,0
3.9,631,622,0,0
3.10,631,627,0,0
3.11,631,628,0,0
3.12,631,630,0,0
3.13,631,630,0,0
3.14,631,631,0,0
3.15,631,631,0,0
3.16,631,631,0,0
3.17,631,631,0,0
3.18,631,631,0,0
3.19,631,631,0,0
3.20,631,631,0,0
3.21,633,631,0,2
3.22,633,631,0,0
3.23,636,631,0,3
3.24,638,631,0,2
3.25,640,631,0,2
3.26,641,631,0,1
3.27,641,631,0,0
3.28,644,631,0,3
3.29,645,631,0,1
3.30,646,631,0,1
3.31,646,631,0,0
4.1,647,631,0,1
4.2,651,632,0,4
4.3,651,632,0,0
4.4,651,633,0,0
4.5,651,633,0,0
4.6,651,633,0,0
4.7,651,633,0,0
4.8,651,633,0,0
4.9,651,634,0,0
4.10,652,636,0,1
4.11,653,638,0,1
4.12,653,638,0,0
4.13,653,641,0,0
4.14,653,642,0,0
4.15,653,642,0,0
4.16,653,643,0,0
4.17,653,643,0,0
4.18,653,643,0,0
4.19,653,643,0,0
4.20,653,644,0,0
4.21,653,645,0,0
4.22,653,645,0,0
4.23,653,646,0,0
4.24,653,646,0,0
4.25,653,646,0,0
4.26,653,646,0,0
4.27,653,646,0,0
