日期,确诊,治愈,死亡,新增确诊
1.26,48,0,0,12
1.27,72,2,0,24
1.28,109,3,0,37
1.29,162,3,0,53
1.30,240,7,0,78
1.31,286,9,0,47
2.1,333,10,0,47
2.2,391,18,0,59
2.3,476,19,0,85
2.4,548,27,0,72
2.5,600,37,0,52
2.6,661,45,0,61
2.7,698,55,0,37
2.8,740,72,0,42
2.9,771,102,1,32
2.10,804,127,1,32
2.11,844,152,1,40
2.12,872,170,1,28
2.13,900,187,1,28
2.14,913,210,1,13
2.15,925,239,1,12
2.16,930,275,1,5
2.17,933,310,1,3
2.18,934,362,1,1
2.19,934,432,1,1
2.20,934,489,1,0
2.21,934,544,1,0
2.22,934,611,1,0
2.23,934,645,1,0
2.24,934,682,1,0
2.25,934,719,1,0
2.26,934,754,1,0
2.27,935,790,1,1
2.28,935,811,1,0
2.29,935,831,1,0
3.1,935,850,1,0
3.2,935,870,1,0
3.3,935,884,1,0
3.4,935,901,1,0
3.5,935,908,1,0
3.6,935,916,1,0
3.7,935,918,1,0
3.8,935,923,1,0
3.9,935,927,1,0
3.10,935,932,1,0
3.11,935,934,1,0
3.12,935,934,1,0
3.13,935,934,1,0
3.14,935,934,1,0
3.15,935,934,1,0
3.16,935,934,1,0
3.17,935,934,1,0
3.18,935,934,1,0
3.19,935,934,1,0
3.20,935,934,1,0
3.21,936,934,1,1
3.22,936,934,1,0
3.23,936,934,1,0
3.24,936,934,1,0
3.25,936,934,1,0
3.26,936,934,1,0
3.27,936,934,1,0
3.28,937,934,1,1
3.29,937,935,1,0
3.30,937,935,1,0
3.31,937,935,1,0
4.1,937,935,1,0
4.2,937,935,1,0
4.3,937,935,1,0
4.4,937,935,1,0
4.5,937,935,1,0
4.6,937,935,1,0
4.7,937,935,1,0
4.8,937,935,1,0
4.9,937,936,1,0
4.10,937,936,1,0
4.11,937,936,1,0
4.12,937,936,1,0
4.13,937,936,1,0
4.14,937,936,1,0
4.15,937,936,1,0
4.16,937,936,1,0
4.17,937,936,1,0
4.18,937,936,1,0
4.19,937,936,1,0
4.20,937,936,1,0
4.21,937,936,1,0
4.22,937,936,1,0
4.23,937,936,1,0
4.24,937,936,1,0
4.25,937,936,1,0
4.26,937,936,1,0
4.27,937,936,1,0
4.28,937,936,1,0
4.29,937,936,1,0
4.30,937,936,1,0
5.1,937,936,1,0
5.2,937,936,1,0
5.3,937,936,1,0
5.4,937,936,1,0
5.5,937,936,1,0
5.6,937,936,1,0
5.7,937,936,1,0
5.8,937,936,1,0
5.9,937,936,1,0
5.10,937,936,1,0
5.11,937,936,1,0
5.12,937,936,1,0
5.13,937,936,1,0
5.14,937,936,1,0
5.15,937,936,1,0
5.16,937,936,1,0
5.17,937,936,1,0
5.18,937,936,1,0
5.19,937,936,1,0
5.20,937,936,1,0
5.21,937,936,1,0
5.22,937,936,1,0
5.23,937,936,1,0
5.24,937,936,1,0
5.25,937,936,1,0
5.26,937,936,1,0
5.27,937,936,1,0
5.28,937,936,1,0
5.29,937,936,1,0
5.30,937,936,1,0
5.31,937,936,1,0
6.1,937,936,1,0
6.2,932,931,1,0
6.3,932,931,1,0
6.4,932,931,1,0
6.5,932,931,1,0
6.6,932,931,1,0
6.7,932,931,1,0
6.8,932,931,1,0
6.9,932,931,1,0
6.10,932,931,1,0
6.11,932,931,1,0
6.12,932,931,1,0
6.13,932,931,1,0
6.14,932,931,1,0
6.15,932,931,1,0
6.16,932,931,1,0
6.17,932,931,1,0
6.18,932,931,1,0
6.19,932,931,1,0
6.20,932,931,1,0
6.21,932,931,1,0
6.22,932,931,1,0
6.23,932,931,1,0
6.24,932,931,1,0
6.25,932,931,1,0
6.26,932,931,1,0
6.27,932,931,1,0
6.28,932,931,1,0
6.29,932,931,1,0
6.30,932,931,1,0
7.1,932,931,1,0
7.2,932,931,1,0
7.3,932,931,1,0
7.4,932,931,1,0
7.5,932,931,1,0
7.6,932,931,1,0
7.7,932,931,1,0
7.8,932,931,1,0
7.9,932,931,1,0
7.10,932,931,1,0
7.11,932,931,1,0
7.12,932,931,1,0
7.13,932,931,1,0
7.14,932,931,1,0
7.15,932,931,1,0
7.16,932,931,1,0
7.17,932,931,1,0
7.18,932,931,1,0
7.19,932,931,1,0
7.20,932,931,1,0
7.21,932,931,1,0
7.22,932,931,1,0
7.23,932,931,1,0
7.24,932,931,1,0
7.25,932,931,1,0
7.26,932,931,1,0
7.27,932,931,1,0
7.28,932,931,1,0
7.29,932,931,1,0
7.30,932,931,1,0
7.31,932,931,1,0
8.1,932,931,1,0
8.2,932,931,1,0
8.3,932,931,1,0
8.4,932,931,1,0
8.5,932,931,1,0
8.6,932,931,1,0
8.7,932,931,1,0
8.8,932,931,1,0
8.9,932,931,1,0
8.10,932,931,1,0
8.11,932,931,1,0
8.12,932,931,1,0
8.13,932,931,1,0
8.14,932,931,1,0
8.15,932,931,1,0
8.16,932,931,1,0
8.17,932,931,1,0
8.18,932,931,1,0
8.19,935,931,1,3
8.20,935,931,1,0
8.21,935,931,1,0
8.22,935,931,1,0
8.23,935,931,1,0
8.24,935,931,1,0
8.25,935,931,1,0
8.26,935,932,1,0
8.27,935,934,1,0
8.28,935,934,1,0
8.29,935,934,1,0
8.30,935,934,1,0
8.31,935,934,1,0
9.1,935,934,1,0
9.2,935,934,1,0
9.3,935,934,1,0
9.4,935,934,1,0
9.5,935,934,1,0
9.6,935,934,1,0
9.7,935,934,1,0
9.8,935,934,1,0
9.9,935,934,1,0
9.10,935,934,1,0
9.11,935,934,1,0
9.12,935,934,1,0
9.13,935,934,1,0
9.14,935,934,1,0
9.15,935,934,1,0
9.16,935,934,1,0
9.17,935,934,1,0
9.18,935,934,1,0
9.19,935,934,1,0
9.20,935,934,1,0
9.21,935,934,1,0
9.22,935,934,1,0
9.23,935,934,1,0
9.24,935,934,1,0
9.25,935,934,1,0
9.26,935,934,1,0
9.27,935,934,1,0
9.28,935,934,1,0
9.29,935,934,1,0
9.30,935,934,1,0
10.1,935,934,1,0
10.2,935,934,1,0
10.3,935,934,1,0
10.4,935,934,1,0
10.5,935,934,1,0
10.6,935,934,1,0
10.7,935,934,1,0
10.8,935,934,1,0
10.9,935,934,1,0
10.10,935,934,1,0
10.11,935,934,1,0
10.12,935,934,1,0
10.13,935,934,1,0
10.14,935,934,1,0
10.15,935,934,1,0
10.16,935,934,1,0
10.17,935,934,1,0
10.18,935,934,1,0
10.19,935,934,1,0
10.20,935,934,1,0
10.21,935,934,1,0
10.22,935,934,1,0
10.23,935,934,1,0
10.24,935,934,1,0
10.25,935,934,1,0
10.26,935,934,1,0
10.27,935,934,1,0
10.28,935,934,1,0
10.29,935,934,1,0
10.30,935,934,1,0
10.31,935,934,1,0
11.1,935,934,1,0
11.2,935,934,1,0
11.3,935,934,1,0
11.4,935,934,1,0
11.5,935,934,1,0
11.6,935,934,1,0
11.7,935,934,1,0
11.8,935,934,1,0
11.9,935,934,1,0
11.10,935,934,1,0
11.11,935,934,1,0
11.12,935,934,1,0
11.13,935,934,1,0
11.14,935,934,1,0
11.15,935,934,1,0
11.16,935,934,1,0
11.17,935,934,1,0
11.18,935,934,1,0
11.19,935,934,1,0
11.20,935,934,1,0
11.21,935,934,1,0
11.22,935,934,1,0
11.23,935,934,1,0
11.24,935,934,1,0
11.25,935,934,1,0
11.26,935,934,1,0
11.27,935,934,1,0
11.28,935,934,1,0
11.29,935,934,1,0
11.30,935,934,1,0
12.1,935,934,1,0
12.2,935,934,1,0
12.3,935,934,1,0
12.4,935,934,1,0
12.5,935,934,1,0
12.6,935,934,1,0
12.7,935,934,1,0
12.8,935,934,1,0
12.9,935,934,1,0
12.10,935,934,1,0
12.11,935,934,1,0
12.12,935,934,1,0
12.13,935,934,1,0
12.14,935,934,1,0
12.15,935,934,1,0
12.16,935,934,1,0
12.17,935,934,1,0
12.18,935,934,1,0
