日期,确诊,治愈,死亡,新增确诊
1.26,18,0,1,5
1.27,33,0,1,15
1.28,48,0,1,15
1.29,65,0,1,17
1.30,82,0,1,17
1.31,96,0,1,14
2.1,104,0,1,8
2.2,113,0,1,9
2.3,126,3,1,13
2.4,135,4,1,9
2.5,157,7,1,22
2.6,171,16,1,14
2.7,195,25,1,24
2.8,206,30,2,11
2.9,218,35,2,12
2.10,239,41,2,21
2.11,251,48,2,12
2.12,265,54,3,14
2.13,283,69,3,18
2.14,291,86,3,8
2.15,300,100,3,9
2.16,301,109,3,1
2.17,302,123,4,1
2.18,306,136,4,4
2.19,307,152,5,1
2.20,308,170,5,1
2.21,309,184,6,1
2.22,311,204,6,2
2.23,311,221,6,0
2.24,311,241,6,0
2.25,312,248,6,1
2.26,317,261,6,5
2.27,318,274,6,1
2.28,318,277,6,0
2.29,318,283,6,0
3.1,318,294,6,0
3.2,318,297,6,0
3.3,318,300,6,0
3.4,318,301,6,0
3.5,318,304,6,0
3.6,318,305,6,0
3.7,318,307,6,0
3.8,318,307,6,0
3.9,318,307,6,0
3.10,318,307,6,0
3.11,318,307,6,0
3.12,318,310,6,0
3.13,318,310,6,0
3.14,318,310,6,0
3.15,318,310,6,0
3.16,318,310,6,0
3.17,318,310,6,0
3.18,318,310,6,0
3.19,318,310,6,0
3.20,318,310,6,0
3.21,319,310,6,1
3.22,319,310,6,0
3.23,319,310,6,0
3.24,319,310,6,0
3.25,319,310,6,0
3.26,319,310,6,0
3.27,319,310,6,0
3.28,319,310,6,0
3.29,321,310,6,2
3.30,321,310,6,0
3.31,323,310,6,2
4.1,325,310,6,2
4.2,326,310,6,1
4.3,326,310,6,0
4.4,327,310,6,1
4.5,327,310,6,0
4.6,327,312,6,0
4.7,327,312,6,0
4.8,327,313,6,0
4.9,327,313,6,0
4.10,327,313,6,0
4.11,327,313,6,0
4.12,327,313,6,0
4.13,327,314,6,0
4.14,327,314,6,0
4.15,328,315,6,1
4.16,328,316,6,0
4.17,328,316,6,0
4.18,328,316,6,0
4.19,328,317,6,0
4.20,328,317,6,0
4.21,328,317,6,0
4.22,328,317,6,0
4.23,328,317,6,0
4.24,328,318,6,0
4.25,328,318,6,0
4.26,328,318,6,0
4.27,328,318,6,0
4.28,328,318,6,0
4.29,328,318,6,0
4.30,328,318,6,0
5.1,328,318,6,0
5.2,328,318,6,0
5.3,328,318,6,0
5.4,328,320,6,0
5.5,328,320,6,0
5.6,328,320,6,0
5.7,328,320,6,0
5.8,328,320,6,0
5.9,328,321,6,0
5.10,328,321,6,0
5.11,328,321,6,0
5.12,328,321,6,0
5.13,328,321,6,0
5.14,328,321,6,0
5.15,328,321,6,0
5.16,328,321,6,0
5.17,328,322,6,0
5.18,328,322,6,0
5.19,328,322,6,0
5.20,328,322,6,0
5.21,328,322,6,0
5.22,328,322,6,0
5.23,328,322,6,0
5.24,328,322,6,0
5.25,328,322,6,0
5.26,328,322,6,0
5.27,328,322,6,0
5.28,328,322,6,0
5.29,328,322,6,0
5.30,328,322,6,0
5.31,328,322,6,0
6.1,328,322,6,0
6.2,328,322,6,0
6.3,328,322,6,0
6.4,328,322,6,0
6.5,328,322,6,0
6.6,328,322,6,0
6.7,328,322,6,0
6.8,328,322,6,0
6.9,328,322,6,0
6.10,328,322,6,0
6.11,328,322,6,0
6.12,328,322,6,0
6.13,328,322,6,0
6.14,331,322,6,3
6.15,335,322,6,4
6.16,336,322,6,1
6.17,338,322,6,2
6.18,340,322,6,2
6.19,341,322,6,1
6.20,344,322,6,3
6.21,346,322,6,2
6.22,346,323,6,0
6.23,348,323,6,2
6.24,349,323,6,1
6.25,349,324,6,0
6.26,349,326,6,0
6.27,349,331,6,0
6.28,349,333,6,0
6.29,349,334,6,0
6.30,349,334,6,0
7.1,349,334,6,0
7.2,349,334,6,0
7.3,349,336,6,0
7.4,349,337,6,0
7.5,349,337,6,0
7.6,349,337,6,0
7.7,349,337,6,0
7.8,349,339,6,0
7.9,349,339,6,0
7.10,349,339,6,0
7.11,349,339,6,0
7.12,349,339,6,0
7.13,349,340,6,0
7.14,349,340,6,0
7.15,349,340,6,0
7.16,349,340,6,0
7.17,349,340,6,0
7.18,349,341,6,0
7.19,349,341,6,0
7.20,349,341,6,0
7.21,349,342,6,0
7.22,349,342,6,0
7.23,349,342,6,0
7.24,349,342,6,0
7.25,349,342,6,0
7.26,349,343,6,0
7.27,349,343,6,0
7.28,349,343,6,0
7.29,349,343,6,0
7.30,349,343,6,0
7.31,349,343,6,0
8.1,349,343,6,0
8.2,349,343,6,0
8.3,349,343,6,0
8.4,349,343,6,0
8.5,349,343,6,0
8.6,349,343,6,0
8.7,349,343,6,0
8.8,349,343,6,0
8.9,349,343,6,0
8.10,350,343,6,1
8.11,350,343,6,0
8.12,351,343,6,1
8.13,351,343,6,0
8.14,351,343,6,0
8.15,351,343,6,0
8.16,351,343,6,0
8.17,351,343,6,0
8.18,351,343,6,0
8.19,351,343,6,0
8.20,351,343,6,0
8.21,354,343,6,3
8.22,359,343,6,5
8.23,359,343,6,0
8.24,360,343,6,1
8.25,360,343,6,0
8.26,362,343,6,2
8.27,362,343,6,0
8.28,362,343,6,0
8.29,362,343,6,0
8.30,362,343,6,0
8.31,365,346,6,3
9.1,365,346,6,0
9.2,365,347,6,0
9.3,365,347,6,0
9.4,365,354,6,0
9.5,365,354,6,0
9.6,365,354,6,0
9.7,365,355,6,0
9.8,365,355,6,0
9.9,365,355,6,0
9.10,365,355,6,0
9.11,365,355,6,0
9.12,365,355,6,0
9.13,365,356,6,0
9.14,365,356,6,0
9.15,365,356,6,0
9.16,365,356,6,0
9.17,365,356,6,0
9.18,365,356,6,0
9.19,365,356,6,0
9.20,365,356,6,0
9.21,365,357,6,0
9.22,365,357,6,0
9.23,365,357,6,0
9.24,365,357,6,0
9.25,365,357,6,0
9.26,365,357,6,0
9.27,365,358,6,0
9.28,365,358,6,0
9.29,365,358,6,0
9.30,365,358,6,0
10.1,365,358,6,0
10.2,365,358,6,0
10.3,365,358,6,0
10.4,365,358,6,0
10.5,365,358,6,0
10.6,365,358,6,0
10.7,365,358,6,0
10.8,365,358,6,0
10.9,365,358,6,0
10.10,365,358,6,0
10.11,367,358,6,2
10.12,367,358,6,0
10.13,367,358,6,0
10.14,368,358,6,1
10.15,368,358,6,0
10.16,368,358,6,0
10.17,368,358,6,0
10.18,368,358,6,0
10.19,368,358,6,0
10.20,368,358,6,0
10.21,368,358,6,0
10.22,368,359,6,0
10.23,368,359,6,0
10.24,368,359,6,0
10.25,369,359,6,1
10.26,371,359,6,2
10.27,372,359,6,1
10.28,372,359,6,0
10.29,372,359,6,0
10.30,373,359,6,1
10.31,373,359,6,0
11.1,373,359,6,0
11.2,373,360,6,0
11.3,373,360,6,0
11.4,373,360,6,0
11.5,373,360,6,0
11.6,373,360,6,0
11.7,373,361,6,0
11.8,373,361,6,0
11.9,373,361,6,0
11.10,373,361,6,0
11.11,373,361,6,0
11.12,373,361,6,0
11.13,373,362,6,0
11.14,373,362,6,0
11.15,373,362,6,0
11.16,373,363,6,0
11.17,373,363,6,0
11.18,373,363,6,0
11.19,373,363,6,0
11.20,373,363,6,0
11.21,373,363,6,0
11.22,373,365,6,0
11.23,373,366,6,0
11.24,373,366,6,0
11.25,373,366,6,0
11.26,373,366,6,0
11.27,373,366,6,0
11.28,373,366,6,0
11.29,373,366,6,0
11.30,373,366,6,0
12.1,373,366,6,0
12.2,373,366,6,0
12.3,373,366,6,0
12.4,373,366,6,0
12.5,373,366,6,0
12.6,373,367,6,0
12.7,373,367,6,0
12.8,373,367,6,0
12.9,373,367,6,0
12.10,373,367,6,0
12.11,373,367,6,0
12.12,373,367,6,0
12.13,373,367,6,0
12.14,373,367,6,0
12.15,373,367,6,0
12.16,373,367,6,0
12.17,373,367,6,0
12.18,373,367,6,0
