日期,确诊,治愈,死亡,新增确诊
1.26,128,1,0,24
1.27,173,1,0,45
1.28,296,3,0,123
1.29,428,4,0,132
1.30,537,9,0,109
1.31,599,15,0,62
2.1,661,23,0,62
2.2,724,36,0,63
2.3,829,48,0,105
2.4,895,63,0,66
2.5,954,81,0,59
2.6,1006,98,0,52
2.7,1048,127,0,42
2.8,1075,173,0,27
2.9,1092,201,0,29
2.10,1117,250,0,25
2.11,1131,279,0,14
2.12,1145,327,0,14
2.13,1155,367,0,10
2.14,1162,409,0,7
2.15,1167,437,0,5
2.16,1171,470,0,4
2.17,1172,514,0,1
2.18,1173,544,0,1
2.19,1175,609,0,2
2.20,1203,647,1,28
2.21,1205,694,1,2
2.22,1205,729,1,0
2.23,1205,765,1,0
2.24,1205,794,1,0
2.25,1205,814,1,0
2.26,1205,881,1,0
2.27,1205,943,1,0
2.28,1205,987,1,0
2.29,1205,1027,1,0
3.1,1205,1050,1,0
3.2,1213,1086,1,7
3.3,1213,1107,1,0
3.4,1215,1130,1,2
3.5,1215,1153,1,0
3.6,1215,1161,1,0
3.7,1215,1169,1,0
3.8,1215,1182,1,0
3.9,1215,1190,1,0
3.10,1215,1205,1,0
3.11,1215,1209,1,0
3.12,1215,1209,1,0
3.13,1227,1211,1,0
3.14,1231,1211,1,4
3.15,1231,1213,1,0
3.16,1232,1216,1,1
3.17,1232,1216,1,0
3.18,1233,1217,1,1
3.19,1234,1219,1,1
3.20,1236,1219,1,2
3.21,1237,1219,1,1
3.22,1238,1221,1,1
3.23,1240,1221,1,2
3.24,1241,1221,1,1
3.25,1243,1222,1,2
3.26,1247,1222,1,4
3.27,1251,1225,1,4
3.28,1254,1225,1,3
3.29,1255,1225,1,1
3.30,1257,1226,1,2
3.31,1257,1226,1,0
4.1,1258,1228,1,1
4.2,1260,1228,1,2
4.3,1262,1229,1,2
4.4,1263,1230,1,1
4.5,1264,1230,1,1
4.6,1265,1230,1,1
4.7,1266,1232,1,1
4.8,1267,1235,1,1
4.9,1267,1235,1,0
4.10,1267,1236,1,0
4.11,1267,1238,1,0
4.12,1267,1239,1,0
4.13,1267,1242,1,0
4.14,1268,1244,1,1
4.15,1268,1244,1,0
4.16,1268,1246,1,0
4.17,1268,1246,1,0
4.18,1268,1247,1,0
4.19,1268,1249,1,0
4.20,1268,1251,1,0
4.21,1268,1252,1,0
4.22,1268,1254,1,0
4.23,1268,1256,1,0
4.24,1268,1256,1,0
4.25,1268,1257,1,0
4.26,1268,1258,1,0
4.27,1268,1261,1,0
4.28,1268,1262,1,0
4.29,1268,1263,1,0
4.30,1268,1264,1,0
5.1,1268,1265,1,0
5.2,1268,1265,1,0
5.3,1268,1265,1,0
5.4,1268,1267,1,0
5.5,1268,1267,1,0
5.6,1268,1267,1,0
5.7,1268,1267,1,0
5.8,1268,1267,1,0
5.9,1268,1267,1,0
5.10,1268,1267,1,0
5.11,1268,1267,1,0
5.12,1268,1267,1,0
5.13,1268,1267,1,0
5.14,1268,1267,1,0
5.15,1268,1267,1,0
5.16,1268,1267,1,0
5.17,1268,1267,1,0
5.18,1268,1267,1,0
5.19,1268,1267,1,0
5.20,1268,1267,1,0
5.21,1268,1267,1,0
5.22,1268,1267,1,0
5.23,1268,1267,1,0
5.24,1268,1267,1,0
5.25,1268,1267,1,0
5.26,1268,1267,1,0
5.27,1268,1267,1,0
5.28,1268,1267,1,0
5.29,1268,1267,1,0
5.30,1268,1267,1,0
5.31,1268,1267,1,0
6.1,1268,1267,1,0
6.2,1268,1267,1,0
6.3,1268,1267,1,0
6.4,1268,1267,1,0
6.5,1268,1267,1,0
6.6,1268,1267,1,0
6.7,1268,1267,1,0
6.8,1268,1267,1,0
6.9,1268,1267,1,0
6.10,1268,1267,1,0
6.11,1268,1267,1,0
6.12,1268,1267,1,0
6.13,1268,1267,1,0
6.14,1268,1267,1,0
6.15,1268,1267,1,0
6.16,1269,1267,1,1
6.17,1269,1267,1,0
6.18,1269,1267,1,0
6.19,1269,1267,1,0
6.20,1269,1267,1,0
6.21,1269,1267,1,0
6.22,1269,1267,1,0
6.23,1269,1267,1,0
6.24,1269,1267,1,0
6.25,1269,1267,1,0
6.26,1269,1267,1,0
6.27,1269,1267,1,0
6.28,1269,1267,1,0
6.29,1269,1267,1,0
6.30,1269,1267,1,0
7.1,1269,1267,1,0
7.2,1269,1267,1,0
7.3,1269,1267,1,0
7.4,1269,1267,1,0
7.5,1269,1267,1,0
7.6,1269,1267,1,0
7.7,1269,1267,1,0
7.8,1269,1267,1,0
7.9,1269,1267,1,0
7.10,1269,1267,1,0
7.11,1270,1267,1,1
7.12,1270,1267,1,0
7.13,1270,1267,1,0
7.14,1270,1267,1,0
7.15,1270,1267,1,0
7.16,1270,1268,1,0
7.17,1270,1268,1,0
7.18,1270,1268,1,0
7.19,1270,1268,1,0
7.20,1270,1268,1,0
7.21,1270,1268,1,0
7.22,1270,1268,1,0
7.23,1270,1268,1,0
7.24,1270,1268,1,0
7.25,1270,1268,1,0
7.26,1270,1268,1,0
7.27,1270,1268,1,0
7.28,1270,1268,1,0
7.29,1270,1268,1,0
7.30,1270,1268,1,0
7.31,1270,1268,1,0
8.1,1270,1268,1,0
8.2,1270,1268,1,0
8.3,1270,1268,1,0
8.4,1270,1268,1,0
8.5,1270,1268,1,0
8.6,1270,1268,1,0
8.7,1271,1268,1,1
8.8,1272,1268,1,1
8.9,1273,1268,1,1
8.10,1274,1268,1,1
8.11,1275,1268,1,1
8.12,1275,1268,1,0
8.13,1275,1268,1,0
8.14,1275,1268,1,0
8.15,1275,1268,1,0
8.16,1275,1268,1,0
8.17,1275,1268,1,0
8.18,1277,1268,1,2
8.19,1277,1268,1,0
8.20,1277,1268,1,0
8.21,1277,1268,1,0
8.22,1277,1268,1,0
8.23,1277,1268,1,0
8.24,1277,1268,1,0
8.25,1277,1268,1,0
8.26,1277,1268,1,0
8.27,1277,1268,1,0
8.28,1277,1268,1,0
8.29,1277,1268,1,0
8.30,1278,1268,1,1
8.31,1278,1268,1,0
9.1,1278,1268,1,0
9.2,1278,1268,1,0
9.3,1278,1268,1,0
9.4,1278,1268,1,0
9.5,1278,1268,1,0
9.6,1278,1268,1,0
9.7,1278,1268,1,0
9.8,1278,1268,1,0
9.9,1278,1268,1,0
9.10,1278,1268,1,0
9.11,1278,1268,1,0
9.12,1280,1268,1,2
9.13,1280,1272,1,2
9.14,1281,1272,1,1
9.15,1282,1272,1,1
9.16,1282,1272,1,0
9.17,1282,1272,1,0
9.18,1282,1272,1,0
9.19,1282,1272,1,0
9.20,1282,1272,1,0
9.21,1282,1272,1,0
9.22,1282,1272,1,0
9.23,1282,1272,1,0
9.24,1282,1272,1,0
9.25,1282,1272,1,0
9.26,1282,1272,1,0
9.27,1282,1272,1,0
9.28,1282,1272,1,0
9.29,1282,1272,1,0
9.30,1282,1272,1,0
10.1,1282,1272,1,0
10.2,1282,1272,1,0
10.3,1282,1272,1,0
10.4,1282,1272,1,0
10.5,1282,1272,1,0
10.6,1282,1272,1,0
10.7,1283,1272,1,1
10.8,1283,1272,1,0
10.9,1283,1272,1,0
10.10,1283,1272,1,0
10.11,1283,1272,1,0
10.12,1283,1272,1,0
10.13,1283,1272,1,0
10.14,1283,1272,1,0
10.15,1283,1272,1,0
10.16,1283,1279,1,0
10.17,1283,1279,1,0
10.18,1283,1279,1,0
10.19,1283,1279,1,0
10.20,1283,1279,1,0
10.21,1283,1279,1,0
10.22,1283,1279,1,0
10.23,1283,1279,1,0
10.24,1283,1279,1,0
10.25,1283,1279,1,0
10.26,1283,1279,1,0
10.27,1283,1279,1,0
10.28,1283,1279,1,0
10.29,1283,1279,1,0
10.30,1286,1279,1,3
10.31,1286,1279,1,0
11.1,1286,1279,1,0
11.2,1287,1279,1,1
11.3,1287,1279,1,0
11.4,1287,1279,1,0
11.5,1288,1279,1,1
11.6,1288,1279,1,0
11.7,1290,1279,1,2
11.8,1290,1279,1,0
11.9,1291,1279,1,1
11.10,1291,1279,1,0
11.11,1291,1279,1,0
11.12,1291,1279,1,0
11.13,1291,1279,1,0
11.14,1291,1279,1,0
11.15,1291,1279,1,0
11.16,1291,1283,1,0
11.17,1291,1283,1,0
11.18,1292,1283,1,1
11.19,1292,1283,1,0
11.20,1292,1283,1,0
11.21,1293,1283,1,1
11.22,1293,1283,1,0
11.23,1293,1283,1,0
11.24,1293,1283,1,0
11.25,1293,1283,1,0
11.26,1293,1283,1,0
11.27,1294,1283,1,1
11.28,1294,1283,1,0
11.29,1294,1283,1,0
11.30,1294,1288,1,0
12.1,1294,1288,1,0
12.2,1294,1288,1,0
12.3,1294,1288,1,0
12.4,1294,1288,1,0
12.5,1294,1288,1,0
12.6,1295,1288,1,1
12.7,1295,1288,1,0
12.8,1295,1288,1,0
12.9,1295,1288,1,0
12.10,1295,1290,1,0
12.11,1296,1290,1,1
12.12,1296,1290,1,0
12.13,1297,1290,1,1
12.14,1297,1290,1,0
12.15,1297,1290,1,0
12.16,1297,1290,1,0
12.17,1297,1290,1,0
12.18,1298,1290,1,1
