日期,确诊,治愈,死亡,新增确诊
1.26,22,0,0,0
1.27,33,0,1,9
1.28,43,0,1,5
1.29,46,1,1,3
1.30,49,1,1,3
1.31,57,1,1,8
2.1,63,1,1,6
2.2,70,4,1,7
2.3,79,4,1,9
2.4,89,4,1,11
2.5,100,5,1,11
2.6,111,8,2,11
2.7,123,11,2,12
2.8,128,15,2,6
2.9,136,19,3,8
2.10,142,19,3,6
2.11,145,20,3,3
2.12,157,27,4,12
2.13,157,30,4,0
2.14,162,38,4,5
2.15,162,39,4,0
2.16,162,52,4,0
2.17,163,59,4,1
2.18,163,79,4,0
2.19,168,84,4,5
2.20,168,89,4,0
2.21,168,96,4,0
2.22,168,104,4,0
2.23,168,106,5,0
2.24,168,116,5,0
2.25,168,124,5,0
2.26,168,129,5,0
2.27,168,132,5,0
2.28,168,136,5,0
2.29,168,148,5,0
3.1,168,151,5,0
3.3,168,155,5,0
3.4,168,158,5,0
3.5,168,158,6,0
3.6,168,158,6,0
3.7,168,158,6,0
3.8,168,159,6,0
3.9,168,159,6,0
3.10,168,159,6,0
3.11,168,160,6,0
3.12,168,160,6,0
3.13,168,160,6,0
3.14,168,160,6,0
3.15,168,160,6,0
3.16,168,161,6,0
3.17,168,161,6,0
3.18,168,161,6,0
3.19,168,161,6,0
3.20,168,161,6,0
3.21,168,161,6,0
3.22,168,161,6,0
3.23,168,161,6,0
3.24,168,162,6,0
3.25,168,162,6,0
3.26,168,162,6,0
3.27,168,162,6,0
3.28,168,162,6,0
3.29,168,162,6,0
3.30,168,162,6,0
3.31,168,162,6,0
4.1,168,162,6,0
4.2,168,162,6,0
4.3,168,162,6,0
4.4,168,162,6,0
4.5,168,162,6,0
4.6,168,162,6,0
4.7,168,162,6,0
4.8,168,162,6,0
4.9,168,162,6,0
4.10,168,162,6,0
4.11,168,162,6,0
4.12,168,162,6,0
4.13,168,162,6,0
4.14,168,162,6,0
4.15,168,162,6,0
4.16,168,162,6,0
4.17,168,162,6,0
4.18,168,162,6,0
4.19,168,162,6,0
4.20,168,162,6,0
4.21,168,162,6,0
4.22,168,162,6,0
4.23,168,162,6,0
4.24,168,162,6,0
4.25,168,162,6,0
4.26,168,162,6,0
4.27,168,162,6,0
4.28,168,162,6,0
4.29,168,162,6,0
4.30,168,162,6,0
5.1,168,162,6,0
5.2,168,162,6,0
5.3,168,162,6,0
5.4,168,162,6,0
5.5,168,162,6,0
5.6,168,162,6,0
5.7,168,162,6,0
5.8,168,162,6,0
5.9,168,162,6,0
5.10,168,162,6,0
5.11,168,162,6,0
5.12,168,162,6,0
5.13,168,162,6,0
5.14,168,162,6,0
5.15,169,162,6,1
5.16,169,162,6,0
5.17,169,162,6,0
5.18,169,162,6,0
5.19,169,162,6,0
5.20,169,162,6,0
5.21,169,162,6,0
5.22,169,162,6,0
5.23,169,162,6,0
5.24,169,162,6,0
5.25,169,162,6,0
5.26,169,162,6,0
5.27,169,162,6,0
5.28,169,162,6,0
5.29,169,163,6,0
5.30,169,162,6,0
5.31,169,162,6,0
6.1,169,162,6,0
6.2,169,162,6,0
6.3,169,162,6,0
6.4,169,162,6,0
6.5,169,162,6,0
6.6,170,162,6,1
6.7,170,162,6,0
6.8,169,162,6,0
6.9,169,162,6,0
6.10,170,162,6,0
6.11,170,162,6,0
6.12,171,162,6,1
6.13,171,162,6,0
6.14,171,163,6,0
6.15,171,163,6,0
6.16,171,163,6,0
6.17,171,163,6,0
6.18,171,163,6,0
6.19,171,163,6,0
6.20,171,163,6,0
6.21,171,163,6,0
6.22,171,163,6,0
6.23,171,163,6,0
6.24,171,163,6,0
6.25,171,165,6,0
6.26,171,165,6,0
6.27,171,165,6,0
6.28,171,165,6,0
6.29,171,165,6,0
6.30,171,165,6,0
7.1,171,165,6,0
7.2,171,165,6,0
7.3,171,165,6,0
7.4,171,165,6,0
7.5,171,165,6,0
7.6,171,165,6,0
7.7,171,165,6,0
7.8,171,165,6,0
7.9,171,165,6,0
7.10,171,165,6,0
7.11,171,165,6,0
7.12,171,165,6,0
7.13,171,165,6,0
7.14,171,165,6,0
7.15,171,165,6,0
7.16,171,165,6,0
7.17,171,165,6,0
7.18,171,165,6,0
7.19,171,165,6,0
7.20,171,165,6,0
7.21,171,165,6,0
7.22,171,165,6,0
7.23,171,165,6,0
7.24,171,165,6,0
7.25,171,165,6,0
7.26,171,165,6,0
7.27,171,165,6,0
7.28,171,165,6,0
7.29,171,165,6,0
7.30,171,165,6,0
7.31,171,165,6,0
8.1,171,165,6,0
8.2,171,165,6,0
8.3,171,165,6,0
8.4,171,165,6,0
8.5,171,165,6,0
8.6,171,165,6,0
8.7,171,165,6,0
8.8,171,165,6,0
8.9,171,165,6,0
8.10,171,165,6,0
8.11,171,165,6,0
8.12,171,165,6,0
8.13,171,165,6,0
8.14,171,165,6,0
8.15,171,165,6,0
8.16,171,165,6,0
8.17,171,165,6,0
8.18,171,165,6,0
8.19,171,165,6,0
8.20,171,165,6,0
8.21,171,165,6,0
8.22,171,165,6,0
8.23,171,165,6,0
8.24,171,165,6,0
8.25,171,165,6,0
8.26,171,165,6,0
8.27,171,165,6,0
8.28,171,165,6,0
8.29,171,165,6,0
8.30,171,165,6,0
8.31,171,165,6,0
9.1,171,165,6,0
9.2,171,165,6,0
9.3,171,165,6,0
9.4,171,165,6,0
9.5,171,165,6,0
9.6,171,165,6,0
9.7,171,165,6,0
9.8,171,165,6,0
9.9,171,165,6,0
9.10,171,165,6,0
9.11,171,165,6,0
9.12,171,165,6,0
9.13,171,165,6,0
9.14,171,165,6,0
9.15,171,165,6,0
9.16,171,165,6,0
9.17,171,165,6,0
9.18,171,165,6,0
9.19,171,165,6,0
9.20,171,165,6,0
9.21,171,165,6,0
9.22,171,165,6,0
9.23,171,165,6,0
9.24,171,165,6,0
9.25,171,165,6,0
9.26,171,165,6,0
9.27,171,165,6,0
9.28,171,165,6,0
9.29,171,165,6,0
9.30,171,165,6,0
10.1,171,165,6,0
10.2,171,165,6,0
10.3,171,165,6,0
10.4,171,165,6,0
10.5,171,165,6,0
10.6,171,165,6,0
10.7,171,165,6,0
10.8,171,165,6,0
10.9,171,165,6,0
10.10,171,165,6,0
10.11,171,165,6,0
10.12,171,165,6,0
10.13,171,165,6,0
10.14,171,165,6,0
10.15,171,165,6,0
10.16,171,165,6,0
10.17,171,165,6,0
10.18,171,165,6,0
10.19,171,165,6,0
10.20,171,165,6,0
10.21,171,165,6,0
10.22,171,165,6,0
10.23,171,165,6,0
10.24,171,165,6,0
10.25,171,165,6,0
10.26,171,165,6,0
10.27,171,165,6,0
10.28,171,165,6,0
10.29,171,165,6,0
10.30,171,165,6,0
10.31,171,165,6,0
11.1,171,165,6,0
11.2,171,165,6,0
11.3,171,165,6,0
11.4,171,165,6,0
11.5,171,165,6,0
11.6,171,165,6,0
11.7,171,165,6,0
11.8,171,165,6,0
11.9,171,165,6,0
11.10,171,165,6,0
11.11,171,165,6,0
11.12,171,165,6,0
11.13,171,165,6,0
11.14,171,165,6,0
11.15,171,165,6,0
11.16,171,165,6,0
11.17,171,165,6,0
11.18,171,165,6,0
11.19,171,165,6,0
11.20,171,165,6,0
11.21,171,165,6,0
11.22,171,165,6,0
11.23,171,165,6,0
11.24,171,165,6,0
11.25,171,165,6,0
11.26,171,165,6,0
11.27,171,165,6,0
11.28,171,165,6,0
11.29,171,165,6,0
11.30,171,165,6,0
12.1,171,165,6,0
12.2,171,165,6,0
12.3,171,165,6,0
12.4,171,165,6,0
12.5,171,165,6,0
12.6,171,165,6,0
12.7,171,165,6,0
12.8,171,165,6,0
12.9,171,165,6,0
12.10,171,165,6,0
12.11,171,165,6,0
12.12,171,165,6,0
12.13,171,165,6,0
12.14,171,165,6,0
12.15,171,165,6,0
12.16,171,165,6,0
12.17,171,165,6,0
12.18,171,165,6,0
