日期,确诊,治愈,死亡,新增确诊
1.26,29,0,0,27
1.27,59,0,0,17
1.28,82,0,0,9
1.29,101,0,0,19
1.30,120,0,0,19
1.31,144,0,0,24
2.1,159,0,0,15
2.2,179,0,0,20
2.3,194,1,0,15
2.4,205,7,0,11
2.5,215,11,0,10
2.6,224,15,0,9
2.7,239,20,0,15
2.8,250,24,0,11
2.9,261,35,0,11
2.10,267,39,0,6
2.11,272,46,0,5
2.12,279,54,0,7
2.13,281,59,0,2
2.14,285,66,0,4
2.15,287,77,0,2
2.16,290,84,0,3
2.17,292,91,0,2
2.18,293,96,0,1
2.19,293,112,1,0
2.20,293,134,1,0
2.21,293,150,1,0
2.22,293,165,1,0
2.23,293,174,1,0
2.24,294,188,1,1
2.25,294,205,1,0
2.26,296,225,1,2
2.27,296,232,1,0
2.28,296,241,1,0
2.29,296,243,1,0
3.1,296,247,1,0
3.2,296,255,1,0
3.3,296,261,1,0
3.4,296,270,1,0
3.5,296,278,1,0
3.6,296,284,1,0
3.7,296,295,1,0
3.8,296,295,1,0
3.9,296,295,1,0
3.10,296,295,1,0
3.11,296,295,1,0
3.12,296,295,1,0
3.13,296,295,1,0
3.14,296,295,1,0
3.15,296,295,1,0
3.16,296,295,1,0
3.17,296,295,1,0
3.18,296,295,1,0
3.19,299,295,1,3
3.20,303,295,1,4
3.21,307,295,1,4
3.22,313,295,1,6
3.23,318,295,1,5
3.24,322,295,1,4
3.25,328,295,1,6
3.26,331,295,1,3
3.27,337,295,1,6
3.28,338,295,1,1
3.29,340,295,1,2
3.30,343,295,1,3
3.31,345,297,1,2
4.1,345,299,1,0
4.2,349,300,1,4
4.3,350,301,1,1
4.4,350,303,1,0
4.5,350,305,1,0
4.6,351,305,1,1
4.7,351,307,1,0
4.8,351,308,1,0
4.9,351,311,1,0
4.10,351,317,1,0
4.11,352,321,1,1
4.12,352,325,1,0
4.13,353,329,1,1
4.14,353,331,1,0
4.15,353,333,1,0
4.16,354,334,1,1
4.17,355,336,1,1
4.18,355,339,1,0
4.19,355,339,1,0
4.20,355,341,1,0
4.21,355,342,1,0
4.22,355,342,1,0
4.23,355,346,1,0
4.24,355,349,1,0
4.25,355,349,1,0
4.26,355,349,1,0
4.27,355,349,1,0
4.28,355,352,1,0
4.29,355,353,1,0
4.30,356,353,1,1
5.1,356,353,1,0
5.2,356,353,1,0
5.3,356,353,1,0
5.4,356,353,1,0
5.5,356,353,1,0
5.6,356,354,1,0
5.7,356,354,1,0
5.8,356,354,1,0
5.9,356,354,1,0
5.10,356,354,1,0
5.11,356,354,1,0
5.12,356,354,1,0
5.13,356,354,1,0
5.14,356,355,1,0
5.15,356,355,1,0
5.16,356,355,1,0
5.17,356,355,1,0
5.18,356,355,1,0
5.19,356,355,1,0
5.20,356,355,1,0
5.21,356,355,1,0
5.22,356,355,1,0
5.23,356,355,1,0
5.24,356,355,1,0
5.25,357,355,1,1
5.26,357,355,1,0
5.27,358,355,1,1
5.28,358,355,1,0
5.29,358,355,1,0
5.30,358,355,1,0
5.31,358,356,1,0
6.1,358,356,1,0
6.2,358,356,1,0
6.3,358,356,1,0
6.4,358,356,1,0
6.5,358,356,1,0
6.6,359,356,1,1
6.7,359,356,1,0
6.8,359,356,1,0
6.9,359,356,1,0
6.10,360,356,1,1
6.11,361,356,1,1
6.12,361,356,1,0
6.13,361,356,1,0
6.14,362,356,1,1
6.15,362,356,1,0
6.16,362,356,1,0
6.17,362,356,1,0
6.18,362,357,1,0
6.19,362,357,1,0
6.20,363,357,1,1
6.21,363,357,1,0
6.22,363,357,1,0
6.23,363,357,1,0
6.24,363,357,1,0
6.25,363,357,1,0
6.26,363,357,1,0
6.27,363,357,1,0
6.28,363,357,1,0
6.29,363,357,1,0
6.30,363,359,1,0
7.1,363,359,1,0
7.2,363,359,1,0
7.3,363,360,1,0
7.4,363,360,1,0
7.5,363,360,1,0
7.6,363,360,1,0
7.7,363,360,1,0
7.8,363,360,1,0
7.9,363,361,1,0
7.10,363,361,1,0
7.11,363,361,1,0
7.12,363,361,1,0
7.13,363,361,1,0
7.14,363,361,1,0
7.15,363,361,1,0
7.16,363,361,1,0
7.17,364,361,1,1
7.18,364,361,1,0
7.19,364,361,1,0
7.20,364,361,1,0
7.21,364,361,1,0
7.22,364,361,1,0
7.23,364,361,1,0
7.24,364,361,1,0
7.25,365,361,1,1
7.26,366,361,1,1
7.27,366,361,1,0
7.28,366,362,1,0
7.29,366,363,1,0
7.30,366,363,1,0
7.31,366,363,1,0
8.1,367,363,1,1
8.2,367,363,1,0
8.3,367,363,1,0
8.4,367,363,1,0
8.5,367,363,1,0
8.6,367,363,1,0
8.7,367,363,1,0
8.8,367,363,1,0
8.9,367,363,1,0
8.10,367,363,1,0
8.11,368,363,1,1
8.12,368,364,1,0
8.13,368,365,1,0
8.14,368,365,1,0
8.15,369,365,1,1
8.16,370,365,1,1
8.17,370,365,1,0
