日期,确诊,治愈,死亡,新增确诊
1.26,7,0,0,2
1.27,9,0,0,2
1.28,9,0,0,0
1.29,12,0,0,3
1.30,15,0,0,3
1.31,29,0,0,14
2.1,38,2,0,9
2.2,46,2,0,8
2.3,56,2,0,10
2.4,64,5,0,8
2.5,69,6,1,5
2.6,77,6,1,8
2.7,89,6,1,12
2.8,96,7,1,7
2.9,109,7,1,13
2.10,118,10,1,9
2.11,131,17,1,13
2.12,135,20,1,2
2.13,140,28,1,5
2.14,143,33,1,3
2.15,144,37,1,1
2.16,146,47,1,2
2.17,146,66,1,0
2.18,146,69,2,0
2.19,146,71,2,0
2.20,146,76,2,0
2.21,146,90,2,0
2.22,146,91,2,0
2.23,146,102,2,0
2.24,146,103,2,0
2.25,146,104,2,0
2.26,146,112,2,0
2.27,146,112,2,0
2.28,146,112,2,0
2.29,146,112,2,0
3.1,146,114,2,0
3.2,146,114,2,0
3.3,146,114,2,0
3.4,146,114,2,0
3.5,146,114,2,0
3.6,146,115,2,0
3.7,146,117,2,0
3.8,146,123,2,0
3.9,146,129,2,0
3.10,146,133,2,0
3.11,146,137,2,0
3.12,146,140,2,0
3.13,146,143,2,0
3.14,146,143,2,0
3.15,146,143,2,0
3.16,146,144,2,0
3.17,146,144,2,0
3.18,146,144,2,0
3.19,146,144,2,0
3.20,146,144,2,0
3.21,146,144,2,0
3.22,146,144,2,0
3.23,146,144,2,0
3.24,146,144,2,0
3.25,146,144,2,0
3.26,146,144,2,0
3.27,146,144,2,0
3.28,147,144,2,1
3.29,147,144,2,0
3.30,147,144,2,0
3.31,147,144,2,0
4.1,147,144,2,0
4.2,147,144,2,0
4.3,147,144,2,0
4.4,147,144,2,0
4.5,147,144,2,0
4.6,147,144,2,0
4.7,147,144,2,0
4.8,147,144,2,0
4.9,147,144,2,0
4.10,147,144,2,0
4.11,147,144,2,0
4.12,147,144,2,0
4.13,147,144,2,0
4.14,147,144,2,0
4.15,147,144,2,0
4.16,147,144,2,0
4.17,147,144,2,0
4.18,147,145,2,0
4.19,147,145,2,0
4.20,147,145,2,0
4.21,147,145,2,0
4.22,147,145,2,0
4.23,147,145,2,0
4.24,147,145,2,0
4.25,147,145,2,0
4.26,147,145,2,0
4.27,147,145,2,0
4.28,147,145,2,0
4.29,147,145,2,0
4.30,147,145,2,0
5.1,147,145,2,0
5.2,147,145,2,0
5.3,147,145,2,0
5.4,147,145,2,0
5.5,147,145,2,0
5.6,147,145,2,0
5.7,147,145,2,0
5.8,147,145,2,0
5.9,147,145,2,0
5.10,147,145,2,0
5.11,147,145,2,0
5.12,147,145,2,0
5.13,147,145,2,0
5.14,147,145,2,0
5.15,147,145,2,0
5.16,147,145,2,0
5.17,147,145,2,0
5.18,147,145,2,0
5.19,147,145,2,0
5.20,147,145,2,0
5.21,147,145,2,0
5.22,147,145,2,0
5.23,147,145,2,0
5.24,147,145,2,0
5.25,147,145,2,0
5.26,147,145,2,0
5.27,147,145,2,0
5.28,147,145,2,0
5.29,147,145,2,0
5.30,147,145,2,0
5.31,147,145,2,0
6.1,147,145,2,0
6.2,147,145,2,0
6.3,147,145,2,0
6.4,147,145,2,0
6.5,147,145,2,0
6.6,147,145,2,0
6.7,147,145,2,0
6.8,147,145,2,0
6.9,147,145,2,0
6.10,147,145,2,0
6.11,147,145,2,0
6.12,147,145,2,0
6.13,147,145,2,0
6.14,147,145,2,0
6.15,147,145,2,0
6.16,147,145,2,0
6.17,147,145,2,0
6.18,147,145,2,0
6.19,147,145,2,0
6.20,147,145,2,0
6.21,147,145,2,0
6.22,147,145,2,0
6.23,147,145,2,0
6.24,147,145,2,0
6.25,147,145,2,0
6.26,147,145,2,0
6.27,147,145,2,0
6.28,147,145,2,0
6.29,147,145,2,0
6.30,147,145,2,0
