日期,确诊,治愈,死亡,新增确诊
1.26,22,0,0,5
1.27,27,0,0,5
1.28,36,0,0,9
1.29,39,0,0,5
1.30,45,1,0,6
1.31,60,1,0,15
2.1,64,1,0,4
2.2,70,1,0,6
2.3,74,1,0,4
2.4,81,2,0,7
2.5,89,4,0,5
2.6,94,5,0,5
2.7,99,7,0,4
2.8,105,8,0,2
2.9,107,12,0,2
2.10,108,12,0,1
2.11,116,19,0,5
2.12,116,21,1,0
2.13,117,24,1,1
2.14,119,29,1,2
2.15,120,32,1,1
2.16,121,41,1,1
2.17,121,43,1,0
2.18,121,55,1,0
2.19,121,58,1,0
2.20,121,61,1,0
2.21,121,66,1,0
2.22,121,68,1,0
2.23,121,73,1,0
2.24,121,83,1,0
2.25,121,88,1,0
2.26,121,92,1,0
2.27,121,93,1,0
2.28,121,95,1,0
2.29,122,101,1,1
3.1,122,103,1,0
3.2,125,103,1,3
3.3,125,106,1,0
3.4,125,106,1,0
3.5,125,106,1,0
3.6,125,106,1,0
3.7,125,108,1,0
3.8,125,109,1,0
3.9,125,110,1,0
3.10,125,111,1,0
3.11,125,111,1,0
3.12,125,112,1,0
3.13,125,113,1,0
3.14,125,113,1,0
3.15,125,114,1,0
3.16,125,119,1,0
3.17,125,122,1,0
3.18,125,122,1,0
3.19,126,122,2,1
3.20,126,122,2,0
3.21,126,122,2,0
3.22,127,124,2,1
3.23,127,124,2,0
3.24,127,124,2,0
3.25,127,124,2,0
3.26,128,124,2,1
3.27,131,124,2,3
3.28,134,124,2,3
3.29,136,124,2,2
3.30,139,124,2,3
3.31,140,124,2,1
4.1,140,124,2,0
4.2,141,124,2,1
4.3,141,125,2,0
4.4,142,126,2,1
4.5,142,128,2,0
4.6,144,130,2,2
4.7,144,131,2,0
4.8,144,131,2,0
4.9,144,132,2,0
4.10,145,133,2,1
4.11,145,136,2,0
4.12,145,136,2,0
4.13,145,138,2,0
4.14,145,138,2,0
4.15,145,138,2,0
4.16,146,140,2,1
4.17,146,142,2,0
4.18,146,142,2,0
4.19,146,143,2,0
4.20,146,143,2,0
4.21,146,143,2,0
4.22,146,143,2,0
4.23,146,143,2,0
4.24,146,143,2,0
4.25,146,143,2,0
4.26,146,143,2,0
4.27,146,143,2,0
4.28,146,143,2,0
4.29,146,143,2,0
4.30,146,143,2,0
5.1,146,144,2,0
5.2,146,144,2,0
5.3,146,144,2,0
5.4,146,144,2,0
5.5,146,144,2,0
5.6,146,144,2,0
5.7,146,144,2,0
5.8,146,144,2,0
5.9,146,144,2,0
5.10,147,144,2,1
5.11,147,144,2,0
5.12,147,144,2,0
5.13,149,144,2,2
5.14,149,144,2,0
5.15,149,144,2,0
5.16,149,144,2,0
5.17,149,144,2,0
5.18,149,144,2,0
5.19,149,144,2,0
5.20,149,144,2,0
5.21,149,144,2,0
5.22,149,144,2,0
5.23,149,144,2,0
5.24,149,145,2,0
5.25,149,147,2,0
5.26,149,147,2,0
5.27,149,147,2,0
5.28,149,147,2,0
5.29,149,147,2,0
5.30,149,147,2,0
5.31,149,147,2,0
6.1,149,147,2,0
6.2,149,147,2,0
6.3,149,147,2,0
6.4,149,147,2,0
6.5,149,147,2,0
6.6,149,147,2,0
6.7,149,147,2,0
6.8,149,147,2,0
6.9,149,147,2,0
6.10,149,147,2,0
6.11,149,147,2,0
6.12,149,147,2,0
6.13,151,147,2,2
6.14,151,147,2,0
6.15,152,147,2,1
6.16,152,147,2,0
6.17,152,147,2,0
6.18,153,147,2,1
6.19,153,147,2,0
6.20,153,147,2,0
6.21,154,147,2,1
6.22,154,147,2,0
6.23,154,147,2,0
6.24,154,147,2,0
6.25,154,147,2,0
6.26,154,147,2,0
6.27,154,147,2,0
6.28,155,147,2,1
6.29,155,147,2,0
6.30,155,148,2,0
7.1,155,148,2,0
7.2,156,148,2,1
7.3,156,149,2,0
7.4,156,150,2,0
7.5,157,150,2,1
7.6,159,150,2,2
7.7,159,150,2,0
7.8,162,150,2,3
7.9,163,150,2,1
7.10,164,150,2,1
7.11,164,150,2,0
7.12,164,150,2,0
7.13,164,150,2,0
7.14,164,150,2,0
7.15,164,150,2,0
7.16,164,151,2,0
7.17,164,152,2,0
7.18,164,153,2,0
7.19,164,154,2,0
7.20,164,156,2,0
7.21,164,157,2,0
7.22,165,158,2,1
7.23,167,158,2,2
7.24,176,159,2,9
7.25,189,159,2,13
7.26,203,160,2,14
7.27,209,160,2,6
7.28,217,160,2,8
7.29,222,160,2,5
7.30,233,160,2,11
7.31,241,160,2,8
8.1,244,160,2,3
8.2,253,160,2,9
8.3,255,160,2,2
8.4,255,160,2,0
8.5,258,161,2,3
8.6,259,165,2,1
8.7,259,168,2,0
8.8,259,174,2,0
8.9,261,181,2,2
8.10,261,186,2,0
8.11,261,191,2,0
8.12,261,202,2,0
8.13,261,207,2,0
8.14,261,220,2,0
8.15,261,226,2,0
8.16,261,227,2,0
8.17,261,230,2,0
8.18,261,232,2,0
8.19,261,242,2,0
8.20,261,245,2,0
8.21,261,245,2,0
8.22,261,248,2,0
8.23,261,250,2,0
8.24,262,253,2,1
8.25,262,254,2,0
8.26,262,254,2,0
8.27,262,256,2,0
8.28,262,258,2,0
8.29,262,259,2,0
8.30,262,259,2,0
8.31,262,259,2,0
9.1,263,259,2,1
9.2,263,259,2,0
9.3,263,259,2,0
9.4,263,259,2,0
9.5,263,259,2,0
9.6,263,259,2,0
9.7,263,260,2,0
9.8,263,260,2,0
9.9,263,260,2,0
9.10,264,260,2,1
9.11,264,260,2,0
9.12,264,261,2,0
9.13,264,261,2,0
9.14,264,261,2,0
9.15,264,262,2,0
9.16,264,262,2,0
9.17,264,262,2,0
9.18,265,262,2,1
9.19,265,262,2,0
9.20,265,262,2,0
9.21,265,262,2,0
9.22,265,262,2,0
9.23,267,262,2,2
9.24,267,263,2,0
9.25,267,263,2,0
9.26,271,263,2,4
9.27,271,263,2,0
9.28,271,263,2,0
9.29,271,263,2,0
9.30,271,263,2,0
10.1,271,263,2,0
10.2,271,264,2,0
10.3,271,266,2,0
10.4,271,266,2,0
10.5,271,266,2,0
10.6,271,266,2,0
10.7,271,268,2,0
10.8,273,268,2,2
10.9,275,269,2,2
10.10,276,269,2,1
10.11,280,269,2,4
10.12,280,269,2,0
10.13,280,269,2,0
10.14,280,269,2,0
10.15,280,270,2,0
10.16,280,270,2,0
10.17,280,270,2,0
10.18,280,270,2,0
10.19,280,270,2,0
10.20,280,271,2,0
10.21,280,271,2,0
10.22,280,271,2,0
10.23,280,271,2,0
10.24,283,272,2,3
10.25,283,272,2,0
10.26,283,273,2,0
10.27,283,273,2,0
10.28,283,276,2,0
10.29,283,276,2,0
10.30,283,276,2,0
10.31,283,278,2,0
11.1,283,278,2,0
11.2,283,278,2,0
11.3,283,278,2,0
11.4,283,278,2,0
11.5,284,279,2,1
11.6,284,279,2,0
11.7,284,279,2,0
11.8,285,279,2,1
11.9,285,280,2,0
11.10,286,280,2,1
11.11,286,280,2,0
11.12,286,280,2,0
11.13,288,280,2,2
11.14,288,280,2,0
11.15,288,280,2,0
11.16,288,280,2,0
11.17,289,280,2,1
11.18,289,281,2,0
11.19,289,281,2,0
11.20,289,281,2,0
11.21,289,281,2,0
11.22,289,283,2,0
11.23,289,283,2,0
11.24,289,285,2,0
11.25,289,285,2,0
11.26,289,286,2,0
11.27,289,286,2,0
11.28,289,286,2,0
11.29,289,286,2,0
11.30,289,286,2,0
12.1,289,286,2,0
12.2,289,286,2,0
12.3,289,287,2,0
12.4,289,287,2,0
12.5,289,287,2,0
12.6,289,287,2,0
12.7,289,287,2,0
12.8,289,287,2,0
12.9,289,287,2,0
12.10,289,287,2,0
12.11,289,287,2,0
12.12,289,287,2,0
12.13,289,287,2,0
12.14,289,287,2,0
12.15,289,287,2,0
12.16,289,287,2,0
12.17,289,287,2,0
12.18,290,287,2,1
