日期,确诊,治愈,死亡,新增确诊
1.26,22,0,0,7
1.27,35,0,0,13
1.28,46,0,0,11
1.29,56,0,0,10
1.30,63,0,0,7
1.31,87,0,0,24
2.1,101,0,0,15
2.2,116,0,0,15
2.3,142,1,0,36
2.4,165,2,0,14
2.5,173,7,0,8
2.6,184,11,0,11
2.7,195,17,0,12
2.8,208,20,0,13
2.9,213,26,0,5
2.10,219,31,0,6
2.11,225,36,0,6
2.12,229,42,0,4
2.13,230,49,0,1
2.14,232,53,0,2
2.15,236,64,0,4
2.16,240,74,0,4
2.17,240,79,0,0
2.18,242,89,0,2
2.19,245,105,1,3
2.20,245,117,1,0
2.21,245,140,1,0
2.22,245,153,1,0
2.23,245,162,1,0
2.24,245,175,1,0
2.25,245,186,1,0
2.26,245,194,1,0
2.27,245,197,1,0
2.28,245,200,1,0
2.29,245,207,1,0
3.1,245,209,1,0
3.2,245,216,1,0
3.3,245,218,1,0
3.4,245,222,1,0
3.5,245,224,1,0
3.6,245,226,1,0
3.7,245,226,1,0
3.8,245,227,1,0
3.9,245,227,1,0
3.10,245,227,1,0
3.11,245,232,2,0
3.12,245,232,2,0
3.13,245,232,2,0
3.14,245,232,2,0
3.15,245,232,2,0
3.16,246,233,3,1
3.17,246,236,3,0
3.18,246,237,3,0
3.19,247,237,3,1
3.20,248,239,3,1
3.21,248,239,3,0
3.22,248,239,3,0
3.23,249,240,3,1
3.24,250,240,3,1
3.25,253,242,3,3
3.26,253,242,3,0
3.27,253,242,3,0
3.28,253,242,3,0
3.29,253,242,3,0
3.30,253,242,3,0
3.31,255,242,3,2
4.1,255,242,3,0
4.2,255,244,3,0
4.3,256,245,3,1
4.4,256,245,3,0
4.5,256,246,3,0
4.6,256,246,3,0
4.7,256,246,3,0
4.8,256,246,3,0
4.9,256,246,3,0
4.10,256,248,3,0
4.11,256,248,3,0
4.12,256,248,3,0
4.13,256,248,3,0
4.14,256,251,3,0
4.15,256,251,3,0
4.16,256,252,3,0
4.17,256,252,3,0
4.18,256,252,3,0
4.19,256,252,3,0
4.20,277,253,3,21
4.21,279,253,3,2
4.22,279,253,3,0
4.23,279,253,3,0
4.24,286,253,3,7
4.25,286,253,3,0
4.26,286,253,3,0
4.27,306,253,3,20
