日期,确诊,治愈,死亡,新增确诊
1.26,4,0,0,3
1.27,6,0,0,2
1.28,6,0,0,0
1.29,6,0,0,0
1.30,8,0,0,2
1.31,9,0,0,1
2.1,9,0,0,0
2.2,13,0,0,4
2.3,15,0,0,2
2.4,17,0,0,2
2.5,18,3,0,1
2.6,18,3,0,0
2.7,18,3,0,0
2.8,18,3,0,0
2.9,18,3,0,0
2.10,18,3,0,0
2.11,18,5,0,0
2.12,18,9,0,0
2.13,18,11,0,0
2.14,18,11,0,0
2.15,18,13,0,0
2.16,18,13,0,0
2.17,18,13,0,0
2.18,18,15,0,0
2.19,18,16,0,0
2.20,18,16,0,0
2.21,18,18,0,0
2.22,18,18,0,0
2.23,18,18,0,0
2.24,18,18,0,0
2.25,18,18,0,0
2.26,18,18,0,0
2.27,18,18,0,0
2.28,18,18,0,0
2.29,18,18,0,0
3.1,18,18,0,0
3.2,18,18,0,0
3.3,18,18,0,0
3.4,18,18,0,0
3.5,18,18,0,0
3.6,18,18,0,0
3.7,18,18,0,0
3.8,18,18,0,0
3.9,18,18,0,0
3.10,18,18,0,0
3.11,18,18,0,0
3.12,18,18,0,0
3.13,18,18,0,0
3.14,18,18,0,0
3.15,18,18,0,0
3.16,18,18,0,0
3.17,18,18,0,0
3.18,18,18,0,0
3.19,18,18,0,0
3.20,18,18,0,0
3.21,18,18,0,0
3.22,18,18,0,0
3.23,18,18,0,0
3.24,18,18,0,0
3.25,18,18,0,0
3.26,18,18,0,0
3.27,18,18,0,0
3.28,18,18,0,0
3.29,18,18,0,0
3.30,18,18,0,0
3.31,18,18,0,0
4.1,18,18,0,0
4.2,18,18,0,0
4.3,18,18,0,0
4.4,18,18,0,0
4.5,18,18,0,0
4.6,18,18,0,0
4.7,18,18,0,0
4.8,18,18,0,0
4.9,18,18,0,0
4.10,18,18,0,0
4.11,18,18,0,0
4.12,18,18,0,0
4.13,18,18,0,0
4.14,18,18,0,0
4.15,18,18,0,0
4.16,18,18,0,0
4.17,18,18,0,0
4.18,18,18,0,0
