日期,确诊,治愈,死亡,新增确诊
1.26,21,0,1,6
1.27,30,0,1,9
1.28,37,0,1,7
1.29,43,0,1,6
1.30,59,0,2,16
1.31,80,0,2,21
2.1,95,2,2,15
2.2,118,2,2,23
2.3,155,2,2,37
2.4,190,4,2,35
2.5,227,7,3,37
2.6,277,8,3,50
2.7,295,12,5,19
2.8,307,13,6,26
2.9,331,15,7,24
2.10,360,27,8,29
2.11,378,28,8,18
2.12,395,31,9,17
2.13,418,37,11,23
2.14,425,48,11,7
2.15,445,70,11,20
2.16,457,80,11,12
2.17,464,85,11,7
2.18,470,108,12,6
2.19,476,123,12,6
2.20,479,141,12,3
2.21,479,183,12,0
2.22,480,215,12,1
2.23,480,224,12,0
2.24,480,232,12,0
2.25,480,245,12,0
2.26,480,262,13,0
2.27,480,280,13,0
2.28,480,295,13,0
2.29,480,330,13,0
3.1,480,350,13,0
3.2,480,358,13,0
3.3,480,372,13,0
3.4,481,379,13,1
3.5,481,380,13,0
3.6,481,402,13,0
3.7,481,409,13,0
3.8,481,421,13,0
3.9,481,434,13,0
3.10,482,435,13,1
3.11,482,440,13,0
3.12,482,446,13,0
3.13,482,447,13,0
3.14,482,453,13,0
3.15,482,454,13,0
3.16,482,456,13,0
3.17,482,459,13,0
3.18,483,460,13,1
3.19,484,463,13,1
3.20,484,463,13,0
3.21,484,465,13,0
3.22,484,465,13,0
3.23,484,468,13,0
3.24,484,468,13,0
3.25,484,469,13,0
3.26,484,469,13,0
3.27,484,469,13,0
3.28,484,469,13,0
3.29,484,469,13,0
3.30,484,469,13,0
3.31,484,469,13,0
4.1,488,469,13,4
4.2,489,469,13,1
4.3,491,469,13,2
4.4,504,469,13,13
4.5,524,469,13,20
4.6,544,469,13,20
4.7,569,470,13,25
4.8,609,470,13,40
4.9,638,470,13,29
4.10,661,470,13,23
4.11,684,470,13,23
4.12,740,470,13,56
4.13,819,470,13,79
4.14,841,470,13,22
4.15,861,471,13,20
4.16,872,471,13,11
4.17,892,472,13,20
4.18,898,472,13,6
4.19,905,472,13,7
4.20,913,475,13,8
4.21,921,477,13,8
4.22,925,485,13,4
4.23,928,485,13,3
4.24,930,508,13,2
4.25,935,511,13,5
4.26,936,556,13,1
4.27,939,586,13,3
4.28,939,587,13,0
4.29,939,587,13,0
4.30,944,587,13,5
5.1,944,604,13,0
5.2,944,620,13,0
5.3,944,657,13,0
5.4,944,719,13,0
5.5,944,758,13,0
5.6,944,793,13,0
5.7,944,815,13,0
5.8,944,835,13,0
5.9,945,891,13,1
5.10,945,904,13,0
5.11,945,924,13,0
5.12,945,929,13,0
5.13,945,930,13,0
5.14,945,930,13,0
5.15,945,931,13,0
5.16,945,932,13,0
5.17,945,932,13,0
5.18,945,932,13,0
5.19,945,932,13,0
5.20,945,932,13,0
5.21,945,932,13,0
5.22,945,932,13,0
5.23,945,932,13,0
5.24,945,932,13,0
5.25,945,932,13,0
5.26,945,932,13,0
5.27,945,932,13,0
5.28,945,932,13,0
5.29,945,932,13,0
5.30,945,932,13,0
5.31,945,932,13,0
6.1,945,932,13,0
6.2,947,934,13,0
6.3,947,934,13,0
6.4,947,934,13,0
6.5,947,934,13,0
6.6,947,934,13,0
6.7,947,934,13,0
6.8,947,934,13,0
6.9,947,934,13,0
6.10,947,934,13,0
6.11,947,934,13,0
6.12,947,934,13,0
6.13,947,934,13,0
6.14,947,934,13,0
6.15,947,934,13,0
6.16,947,934,13,0
6.17,947,934,13,0
6.18,947,934,13,0
6.19,947,934,13,0
6.20,947,934,13,0
6.21,947,934,13,0
6.22,947,934,13,0
6.23,947,934,13,0
6.24,947,934,13,0
6.25,947,934,13,0
6.26,947,934,13,0
6.27,947,934,13,0
6.28,947,934,13,0
6.29,947,934,13,0
6.30,947,934,13,0
7.1,947,934,13,0
7.2,947,934,13,0
7.3,947,934,13,0
7.4,947,934,13,0
7.5,947,934,13,0
7.6,947,934,13,0
7.7,947,934,13,0
7.8,947,934,13,0
7.9,947,934,13,0
7.10,947,934,13,0
7.11,947,934,13,0
7.12,947,934,13,0
7.13,947,934,13,0
7.14,947,934,13,0
7.15,947,934,13,0
7.16,947,934,13,0
7.17,947,934,13,0
7.18,947,934,13,0
7.19,947,934,13,0
7.20,947,934,13,0
7.21,947,934,13,0
7.22,947,934,13,0
7.23,947,934,13,0
7.24,947,934,13,0
7.25,947,934,13,0
7.26,947,934,13,0
7.27,947,934,13,0
7.28,947,934,13,0
7.29,947,934,13,0
7.30,947,934,13,0
7.31,947,934,13,0
8.1,947,934,13,0
8.2,947,934,13,0
8.3,947,934,13,0
8.4,947,934,13,0
8.5,947,934,13,0
8.6,947,934,13,0
8.7,947,934,13,0
8.8,947,934,13,0
8.9,947,934,13,0
8.10,948,934,13,1
8.11,948,934,13,0
8.12,948,934,13,0
8.13,948,934,13,0
8.14,948,934,13,0
8.15,948,934,13,0
8.16,948,934,13,0
8.17,948,934,13,0
8.18,948,934,13,0
8.19,948,934,13,0
8.20,948,934,13,0
8.21,948,934,13,0
8.22,948,934,13,0
8.23,948,934,13,0
8.24,948,934,13,0
8.25,948,934,13,0
8.26,948,934,13,0
8.27,948,934,13,0
8.28,948,934,13,0
8.29,948,934,13,0
8.30,948,935,13,0
8.31,948,935,13,0
9.1,948,935,13,0
9.2,948,935,13,0
9.3,948,935,13,0
9.4,948,935,13,0
9.5,948,935,13,0
9.6,948,935,13,0
9.7,948,935,13,0
9.8,948,935,13,0
9.9,948,935,13,0
9.10,948,935,13,0
9.11,948,935,13,0
9.12,948,935,13,0
9.13,948,935,13,0
9.14,948,935,13,0
9.15,948,935,13,0
9.16,948,935,13,0
9.17,948,935,13,0
9.18,948,935,13,0
9.19,948,935,13,0
9.20,948,935,13,0
9.21,948,935,13,0
9.22,948,935,13,0
9.23,948,935,13,0
9.24,948,935,13,0
9.25,948,935,13,0
9.26,948,935,13,0
9.27,948,935,13,0
9.28,948,935,13,0
9.29,948,935,13,0
9.30,948,935,13,0
10.1,948,935,13,0
10.2,948,935,13,0
10.3,948,935,13,0
10.4,948,935,13,0
10.5,948,935,13,0
10.6,948,935,13,0
10.7,948,935,13,0
10.8,948,935,13,0
10.9,948,935,13,0
10.10,948,935,13,0
10.11,948,935,13,0
10.12,948,935,13,0
10.13,948,935,13,0
10.14,948,935,13,0
10.15,948,935,13,0
10.16,948,935,13,0
10.17,948,935,13,0
10.18,948,935,13,0
10.19,948,935,13,0
10.20,948,935,13,0
10.21,948,935,13,0
